Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25108 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
70.10,0.00,0.00,-152.25,1143.81,70.00,-70.00
70.81,0.00,0.00,-163.92,1164.75,70.00,-70.00
72.07,0.00,0.00,-174.64,1191.56,70.00,-70.00
73.06,0.00,0.00,-172.11,1212.82,70.00,-70.00
74.17,0.00,0.00,-187.32,1230.67,70.00,-70.00
75.01,0.00,0.00,-194.90,1248.62,70.00,-70.00
75.88,0.00,0.00,-202.68,1267.21,70.00,-70.00
77.20,0.00,0.00,-220.21,1295.79,70.00,-70.00
77.93,0.00,0.00,-221.07,1311.20,70.00,-70.00
79.19,0.00,0.00,-227.00,1338.13,70.00,-70.00
80.03,0.00,0.00,-245.87,1350.53,70.00,-70.00
81.35,0.00,0.00,-252.38,1384.39,70.00,-70.00
82.07,0.00,0.00,-258.97,1405.57,70.00,-70.00
83.02,0.00,0.00,-268.09,1425.96,70.00,-70.00
84.33,0.00,0.00,-280.44,1443.03,70.00,-70.00
85.04,0.00,0.00,-287.34,1464.15,70.00,-70.00
86.30,0.00,0.00,-293.88,1491.46,70.00,-70.00
87.03,0.00,0.00,-312.10,1507.06,70.00,-70.00
88.37,0.00,0.00,-325.33,1530.57,70.00,-70.00
89.16,0.00,0.00,-327.48,1559.07,70.00,-70.00
90.43,0.00,0.00,-340.14,1581.24,-70.00,70.00
91.32,0.00,0.00,-349.01,1600.33,-70.00,70.00
92.61,0.00,0.00,-361.23,1621.19,-70.00,70.00
93.34,0.00,0.00,-361.96,1640.39,-70.00,70.00
94.18,0.00,0.00,-374.77,1655.40,-70.00,70.00
95.49,0.00,0.00,-385.71,1676.27,-70.00,70.00
96.22,0.00,0.00,-391.66,1686.49,-70.00,70.00
97.50,0.00,0.00,-396.45,1708.44,-70.00,70.00
98.43,0.00,0.00,-409.31,1713.36,-70.00,70.00
99.62,0.00,0.00,-424.16,1730.50,-70.00,70.00
100.42,0.00,0.00,-419.00,1731.53,-70.00,70.00
101.29,0.00,0.00,-431.15,1743.42,-70.00,70.00
102.63,0.00,0.00,-440.82,1750.89,-70.00,70.00
103.36,0.00,0.00,-440.27,1753.88,-70.00,70.00
104.63,0.00,0.00,-459.89,1746.56,-70.00,70.00
105.48,0.00,0.00,-459.43,1753.73,-70.00,70.00
106.79,0.00,0.00,-467.12,1748.50,-70.00,70.00
107.53,0.00,0.00,-471.16,1753.68,-70.00,70.00
108.80,0.00,0.00,-483.49,1751.31,-70.00,70.00
109.80,0.00,0.00,-482.67,1753.97,-70.00,70.00
110.93,0.00,0.00,-487.66,1743.99,-70.00,70.00
111.76,0.00,0.00,-485.53,1734.39,-70.00,70.00
113.04,0.00,0.00,-496.36,1738.15,-70.00,70.00
113.92,0.00,0.00,-499.92,1732.04,-70.00,70.00
115.25,0.00,0.00,-499.06,1716.06,-70.00,70.00
115.97,0.00,0.00,-507.13,1709.96,-70.00,70.00
116.82,0.00,0.00,-515.52,1707.87,-70.00,70.00
118.20,0.00,0.00,-508.34,1694.33,-70.00,70.00
118.93,0.00,0.00,-515.98,1681.06,-70.00,70.00
