BEGIN CSV
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.01,6.99,5.08,6.99,5.09,197.65,31.09,-0.07,0.18,-19.81,52.82,76.65,-33.86,56.84,18.96,0.00,0.00
2.46,7.00,5.09,6.99,5.09,197.74,31.11,0.30,0.14,0.59,0.03,76.58,-33.24,77.17,-33.22,0.00,0.00
4.59,7.04,5.13,7.02,5.10,198.34,31.36,0.81,-0.14,1.13,-0.46,76.49,-32.70,77.62,-33.16,0.00,0.00
7.31,7.11,5.20,7.11,5.22,201.90,31.05,-0.37,0.10,-1.49,0.31,76.35,-32.01,74.87,-31.71,0.00,0.00
9.38,7.18,5.28,7.19,5.34,204.97,30.28,-0.94,0.79,-1.29,1.40,76.23,-31.49,74.93,-30.09,0.00,0.00
12.11,7.31,5.42,7.27,5.43,207.89,30.04,0.36,0.90,1.61,0.57,76.03,-30.79,77.64,-30.22,0.00,0.00
14.04,7.41,5.53,7.33,5.48,209.78,30.28,2.07,0.55,3.68,-0.27,75.87,-30.30,79.55,-30.57,0.00,0.00
16.18,7.55,5.67,7.43,5.55,212.42,30.74,4.00,-0.05,4.71,-0.87,75.67,-29.75,80.38,-30.62,0.00,0.00
18.44,7.71,5.85,7.56,5.67,216.55,30.85,5.37,-0.33,4.50,-0.53,75.43,-29.17,79.93,-29.70,0.00,0.00
20.95,7.91,6.06,7.71,5.87,222.40,30.08,6.38,0.23,4.39,0.79,75.15,-28.53,79.54,-27.74,0.00,0.00
22.91,8.09,6.25,7.85,6.05,227.58,29.36,7.09,0.78,4.65,1.22,74.91,-28.03,79.55,-26.80,0.00,0.00
25.61,8.35,6.53,8.05,6.31,235.16,28.48,8.44,1.38,5.72,1.37,74.54,-27.33,80.27,-25.96,0.00,0.00
27.58,8.56,6.75,8.21,6.49,240.74,28.21,9.89,1.44,7.16,0.80,74.26,-26.82,81.42,-26.03,0.00,0.00
30.31,8.87,7.08,8.44,6.76,248.83,27.62,12.35,1.71,8.87,1.16,73.84,-26.12,82.71,-24.96,0.00,0.00
32.26,9.11,7.33,8.64,6.98,255.75,27.16,13.49,1.93,8.49,1.30,73.51,-25.61,82.00,-24.31,0.00,0.00
34.97,9.46,7.71,8.94,7.35,266.67,26.17,14.47,2.57,8.33,1.98,73.03,-24.91,81.36,-22.93,0.00,0.00
36.92,9.73,7.99,9.17,7.63,274.95,25.29,15.26,3.17,8.84,2.52,72.67,-24.40,81.50,-21.88,0.00,0.00
39.64,10.13,8.41,9.52,8.03,287.35,24.41,16.18,3.66,9.11,2.36,72.13,-23.70,81.24,-21.33,0.00,0.00
42.37,10.55,8.86,9.89,8.43,299.85,23.93,17.81,3.72,10.69,1.94,71.55,-22.99,82.24,-21.05,0.00,0.00
44.40,10.87,9.20,10.18,8.74,309.87,23.58,18.77,3.75,10.81,1.92,71.11,-22.46,81.92,-20.54,0.00,0.00
47.26,11.35,9.71,10.63,9.24,325.29,22.70,19.53,4.16,10.56,2.50,70.44,-21.71,81.00,-19.21,0.00,0.00
49.32,11.71,10.09,10.97,9.63,337.29,21.84,19.69,4.66,10.07,3.06,69.94,-21.17,80.01,-18.11,0.00,0.00
51.97,12.19,10.60,11.41,10.14,352.80,20.83,20.35,5.20,10.92,3.21,69.27,-20.48,80.19,-17.26,0.00,0.00
54.12,12.59,11.03,11.80,10.56,366.03,20.19,20.68,5.45,10.81,3.07,68.70,-19.91,79.51,-16.85,0.00,0.00
