BEGIN CSV
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.00,6.99,5.08,6.99,5.08,197.65,31.25,0.00,0.00,0.00,0.02,17.33,9.84,17.33,9.86,73.80,175.59
2.59,7.00,5.08,6.99,5.08,197.61,31.18,0.22,0.20,1.63,1.53,17.58,10.12,19.21,11.65,73.80,175.59
4.90,7.02,5.09,7.00,5.09,197.85,31.31,0.42,0.42,1.85,1.99,17.79,10.36,19.64,12.35,73.80,175.59
7.16,7.06,5.09,7.03,5.10,198.56,31.60,0.40,0.68,0.22,2.57,17.98,10.58,18.20,13.15,73.80,175.59
9.48,7.12,5.10,7.06,5.11,199.26,31.97,0.67,1.08,2.57,3.86,18.18,10.81,20.75,14.67,73.80,175.59
11.81,7.18,5.10,7.11,5.12,200.12,32.61,1.05,1.42,3.68,3.71,18.36,11.03,22.05,14.74,73.73,175.64
14.13,7.27,5.11,7.16,5.12,201.02,33.33,1.64,1.88,5.76,4.94,18.54,11.25,24.31,16.19,73.73,175.64
16.38,7.36,5.13,7.22,5.13,202.31,34.21,2.03,2.34,4.66,5.43,18.71,11.45,23.37,16.88,73.73,175.64
18.56,7.46,5.14,7.30,5.16,203.92,35.09,2.29,2.93,3.88,7.11,18.87,11.64,22.74,18.76,73.73,175.64
21.51,7.62,5.15,7.41,5.18,206.16,36.47,2.89,3.80,5.91,8.23,19.06,11.89,24.98,20.12,73.73,175.64
23.62,7.74,5.17,7.50,5.20,207.78,37.62,3.55,4.47,8.25,9.08,19.20,12.06,27.45,21.14,73.73,175.64
26.39,7.92,5.19,7.63,5.22,210.35,39.55,4.26,5.14,7.94,8.36,19.37,12.28,27.30,20.64,73.73,175.64
28.69,8.08,5.21,7.77,5.24,212.99,41.44,4.60,5.61,6.25,8.05,19.50,12.46,25.75,20.51,73.69,175.67
31.34,8.29,5.23,7.93,5.27,216.00,43.51,5.30,6.48,8.83,10.94,19.64,12.65,28.46,23.59,73.69,175.67
33.52,8.46,5.25,8.07,5.29,218.75,45.59,5.81,6.98,8.82,9.61,19.75,12.80,28.56,22.41,73.69,175.67
35.77,8.66,5.28,8.24,5.31,221.80,47.97,6.32,7.43,9.01,9.45,19.85,12.95,28.86,22.41,73.69,175.67
37.95,8.86,5.30,8.43,5.34,225.32,50.58,6.47,7.72,6.32,8.46,19.95,13.10,26.27,21.56,73.69,175.67
40.71,9.13,5.33,8.68,5.38,230.06,54.03,6.60,8.13,6.12,9.15,20.06,13.27,26.17,22.42,73.69,175.67
42.84,9.34,5.35,8.88,5.40,233.76,56.91,6.87,8.39,7.70,8.86,20.13,13.39,27.84,22.25,73.69,175.67
