Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25100 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
68.80,0.00,0.00,-236.91,-195.67,50.00,50.00
70.08,0.00,0.00,-253.17,-206.30,50.00,50.00
70.77,0.00,0.00,-253.23,-223.33,50.00,50.00
71.82,0.00,0.00,-261.87,-231.99,50.00,50.00
72.99,0.00,0.00,-277.38,-241.92,50.00,50.00
73.68,0.00,0.00,-277.67,-242.25,50.00,50.00
74.94,0.00,0.00,-282.81,-253.15,50.00,50.00
75.87,0.00,0.00,-302.08,-261.17,50.00,50.00
77.10,0.00,0.00,-312.80,-277.60,50.00,50.00
77.81,0.00,0.00,-307.90,-272.66,50.00,50.00
78.77,0.00,0.00,-321.88,-286.66,50.00,50.00
80.03,0.00,0.00,-327.41,-303.57,50.00,50.00
80.72,0.00,0.00,-344.79,-304.10,50.00,50.00
81.96,0.00,0.00,-350.33,-315.31,50.00,50.00
82.88,0.00,0.00,-353.21,-318.10,50.00,50.00
84.14,0.00,0.00,-370.31,-335.24,50.00,50.00
84.83,0.00,0.00,-376.74,-341.63,50.00,50.00
85.79,0.00,0.00,-391.20,-350.55,50.00,50.00
87.04,0.00,0.00,-397.27,-367.91,50.00,50.00
87.73,0.00,0.00,-398.08,-368.77,50.00,50.00
88.62,0.00,0.00,-412.05,-377.29,50.00,50.00
89.94,0.00,0.00,-418.91,-384.15,50.00,50.00
90.64,0.00,0.00,-436.73,-396.21,50.00,50.00
91.89,0.00,0.00,-448.73,-413.88,50.00,50.00
92.71,0.00,0.00,-450.88,-416.18,50.00,50.00
93.97,0.00,0.00,-468.72,-428.38,50.00,50.00
94.77,0.00,0.00,-465.10,-430.47,50.00,50.00
95.62,0.00,0.00,-479.11,-444.53,50.00,50.00
96.90,0.00,0.00,-486.06,-451.38,50.00,50.00
97.62,0.00,0.00,-498.87,-464.11,50.00,50.00
98.60,0.00,0.00,-508.58,-473.82,50.00,50.00
99.80,0.00,0.00,-520.53,-491.44,50.00,50.00
100.50,0.00,0.00,-521.78,-486.98,-50.00,-50.00
101.76,0.00,0.00,-534.31,-499.59,-50.00,-50.00
102.81,0.00,0.00,-544.46,-509.61,-50.00,-50.00
103.98,0.00,0.00,-560.68,-520.03,-50.00,-50.00
104.73,0.00,0.00,-567.33,-532.31,-50.00,-50.00
106.01,0.00,0.00,-578.32,-548.79,-50.00,-50.00
107.01,0.00,0.00,-586.76,-551.51,-50.00,-50.00
108.26,0.00,0.00,-596.87,-561.69,-50.00,-50.00
108.97,0.00,0.00,-602.38,-567.16,-50.00,-50.00
110.25,0.00,0.00,-617.30,-576.52,-50.00,-50.00
111.25,0.00,0.00,-618.42,-583.35,-50.00,-50.00
112.50,0.00,0.00,-620.93,-585.77,-50.00,-50.00
113.21,0.00,0.00,-630.97,-590.12,-50.00,-50.00
114.48,0.00,0.00,-638.50,-603.22,-50.00,-50.00
115.48,0.00,0.00,-644.02,-614.18,-50.00,-50.00
116.74,0.00,0.00,-650.68,-615.08,-50.00,-50.00
117.44,0.00,0.00,-654.21,-618.64,-50.00,-50.00
118.72,0.00,0.00,-654.72,-619.12,-50.00,-50.00
119.72,0.00,0.00,-670.08,-629.14,-50.00,-50.00
120.98,0.00,0.00,-669.24,-639.71,-50.00,-50.00
121.68,0.00,0.00,-671.77,-631.08,-50.00,-50.00
122.96,0.00,0.00,-676.14,-635.47,-50.00,-50.00
123.96,0.00,0.00,-679.31,-649.78,-50.00,-50.00
125.22,0.00,0.00,-682.84,-641.89,-50.00,-50.00
125.92,0.00,0.00,-678.93,-649.14,-50.00,-50.00
127.19,0.00,0.00,-692.80,-646.11,-50.00,-50.00
128.20,0.00,0.00,-689.06,-653.55,-50.00,-50.00
129.46,0.00,0.00,-690.91,-661.16,-50.00,-50.00
130.16,0.00,0.00,-686.32,-656.41,-50.00,-50.00
131.43,0.00,0.00,-693.30,-663.53,-50.00,-50.00
132.44,0.00,0.00,-694.23,-653.05,-50.00,-50.00
133.69,0.00,0.00,-689.26,-653.75,-50.00,-50.00
134.40,0.00,0.00,-695.10,-653.84,-50.00,-50.00
135.67,0.00,0.00,-689.57,-659.64,-50.00,-50.00
136.68,0.00,0.00,-689.44,-653.88,-50.00,-50.00
137.93,0.00,0.00,-694.71,-653.40,-50.00,-50.00
