Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25116 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-88.11,57.11,100.00,100.00
0.88,0.00,0.00,-88.09,57.00,100.00,100.00
1.57,0.00,0.00,-88.31,56.93,100.00,100.00
2.82,0.00,0.00,-89.12,55.83,100.00,100.00
3.74,0.00,0.00,-90.20,54.78,100.00,100.00
4.43,0.00,0.00,-91.19,53.79,100.00,100.00
5.65,0.00,0.00,-93.08,51.79,100.00,100.00
6.60,0.00,0.00,-94.83,50.01,100.00,100.00
7.29,0.00,0.00,-96.22,48.60,100.00,100.00
8.51,0.00,0.00,-99.03,45.83,100.00,100.00
9.39,0.00,0.00,-101.40,43.55,100.00,100.00
10.08,0.00,0.00,-103.36,41.84,100.00,100.00
11.32,0.00,0.00,-107.51,38.32,100.00,100.00
12.38,0.00,0.00,-111.29,34.89,100.00,100.00
13.40,0.00,0.00,-115.31,31.14,100.00,100.00
14.26,0.00,0.00,-118.76,27.51,100.00,100.00
15.08,0.00,0.00,-122.39,24.06,100.00,100.00
16.40,0.00,0.00,-128.50,17.93,100.00,100.00
17.11,0.00,0.00,-131.86,14.57,100.00,100.00
18.36,0.00,0.00,-137.88,8.39,100.00,100.00
19.32,0.00,0.00,-142.73,3.23,100.00,100.00
20.01,0.00,0.00,-146.60,-0.64,100.00,100.00
21.26,0.00,0.00,-153.65,-7.84,100.00,100.00
22.14,0.00,0.00,-158.75,-13.14,100.00,100.00
23.40,0.00,0.00,-166.75,-21.14,100.00,100.00
24.13,0.00,0.00,-171.65,-25.93,100.00,100.00
25.07,0.00,0.00,-178.02,-32.37,100.00,100.00
26.39,0.00,0.00,-187.38,-41.64,100.00,100.00
27.08,0.00,0.00,-192.44,-46.67,100.00,100.00
28.33,0.00,0.00,-201.75,-56.01,100.00,100.00
29.19,0.00,0.00,-208.26,-62.73,100.00,100.00
30.49,0.00,0.00,-218.78,-73.34,100.00,100.00
31.20,0.00,0.00,-224.65,-79.23,100.00,100.00
32.20,0.00,0.00,-232.95,-87.85,100.00,100.00
33.45,0.00,0.00,-244.05,-98.85,100.00,100.00
34.14,0.00,0.00,-250.31,-105.14,100.00,100.00
35.40,0.00,0.00,-262.05,-116.78,100.00,100.00
36.33,0.00,0.00,-270.94,-125.57,100.00,100.00
37.67,0.00,0.00,-283.89,-138.56,100.00,100.00
38.36,0.00,0.00,-290.70,-145.28,100.00,100.00
39.63,0.00,0.00,-303.46,-158.01,100.00,100.00
40.46,0.00,0.00,-311.97,-166.40,100.00,100.00
41.79,0.00,0.00,-326.03,-180.42,100.00,100.00
42.52,0.00,0.00,-333.85,-188.15,100.00,100.00
43.79,0.00,0.00,-347.96,-201.99,100.00,100.00
44.79,0.00,0.00,-359.36,-213.33,100.00,100.00
45.95,0.00,0.00,-372.85,-226.49,100.00,100.00
46.75,0.00,0.00,-382.17,-235.79,100.00,100.00
48.02,0.00,0.00,-397.18,-250.84,100.00,100.00
48.92,0.00,0.00,-407.90,-261.56,100.00,100.00
50.28,0.00,0.00,-424.40,-278.28,100.00,100.00
50.97,0.00,0.00,-432.99,-286.94,100.00,100.00
51.79,0.00,0.00,-443.17,-297.16,100.00,100.00
