BEGIN CSV
66191.32,49.39,10.41,49.39,10.40,978.85,638.22,0.02,-0.07,0.02,-0.05,21.54,-11.30,20.00,-11.35,35.89,139.15
66194.71,49.40,10.41,49.39,10.40,978.83,638.17,0.28,-0.06,1.54,0.01,21.37,-11.00,20.00,-10.99,35.89,139.15
66197.27,49.41,10.43,49.40,10.42,979.18,638.06,0.41,-0.02,1.20,0.26,21.22,-10.77,20.00,-10.51,35.89,139.15
66200.26,49.43,10.46,49.41,10.45,979.88,637.73,0.58,0.18,1.49,1.32,21.04,-10.50,20.00,-9.18,35.89,139.15
66202.62,49.45,10.50,49.42,10.47,980.52,637.60,0.88,0.18,2.89,0.10,20.88,-10.29,20.00,-10.18,35.89,139.15
66205.11,49.49,10.54,49.44,10.49,980.98,637.69,1.62,-0.09,6.49,-1.93,20.71,-10.06,20.00,-11.99,35.89,139.15
66208.11,49.53,10.60,49.45,10.52,981.75,637.36,2.59,-0.01,7.74,0.42,20.49,-9.78,20.00,-9.36,35.89,139.15
66210.49,49.57,10.65,49.47,10.56,982.65,637.05,3.29,0.06,7.77,0.58,20.30,-9.56,20.00,-8.98,35.89,139.15
66213.16,49.63,10.72,49.50,10.62,984.17,636.55,3.79,0.27,6.29,1.60,20.08,-9.31,20.00,-7.72,36.60,135.21
66216.23,49.69,10.82,49.53,10.69,985.84,635.91,4.72,0.52,9.11,1.87,19.80,-9.02,20.00,-7.16,36.60,135.21
66218.65,49.75,10.90,49.56,10.74,987.11,635.58,5.70,0.52,11.66,0.41,19.58,-8.79,20.00,-8.39,36.60,135.21
66221.24,49.82,10.99,49.60,10.80,988.71,635.14,6.70,0.58,12.14,0.85,19.33,-8.55,20.00,-7.70,36.60,135.21
66224.19,49.90,11.10,49.64,10.88,990.60,634.50,8.02,0.75,14.24,1.58,19.03,-8.26,20.00,-6.68,36.60,135.21
66226.64,49.98,11.20,49.68,10.96,992.63,633.89,8.85,0.94,12.96,2.17,18.77,-8.03,20.00,-5.86,36.60,135.21
66229.30,50.06,11.31,49.72,11.05,994.78,633.10,9.97,1.25,15.34,3.04,18.48,-7.77,20.00,-4.72,36.60,135.21
