Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino),,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,
Verbose mode can be enabled via `-v, --verbose` option,,,,,,,,,,,
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html,,,,,,,,,,,,
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8,,,,,,,,,,,,
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash,,,,,,,,,,
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink),,,,,,,,,
0.82,0,0,-0.4,7.99,124.34,-137.35,-100,100,,,,
2.31,0,0,-0.4,7.95,123.66,-136.67,-100,100,,,,
3.13,0,0,-0.4,7.9,122.7,-135.94,-100,100,,,,
4.47,0,0,-0.42,7.79,120.76,-134.38,-100,100,,,,
5.82,0,0,-0.44,7.68,118.54,-132.82,-100,100,,,,
7.17,0,0,-0.46,7.54,115.97,-130.98,-100,100,,,,
8.51,0,0,-0.48,7.4,113.2,-129.05,-100,100,,,,
9.47,0,0,-0.5,7.3,111.16,-127.68,-100,100,,,,
10.88,0,0,-0.52,7.14,108.39,-125.49,-100,100,,,,
12.19,0,0,-0.56,6.98,105.12,-123.31,-100,100,,,,
13.62,0,0,-0.59,6.78,101.4,-120.74,-100,100,,,,
14.85,0,0,-0.59,6.59,98.11,-117.55,-100,100,,,,
15.77,0,0,-0.57,6.43,96.06,-114.59,-100,100,,,,
17.12,0,0,-0.52,6.23,93.49,-110.39,-100,100,,,,
18.47,0,0,-0.51,6.04,90.53,-107.16,-100,100,,,,
19.81,0,0,-0.52,5.84,87.03,-104.15,-100,100,,,,
20.9,0,0,-0.53,5.66,83.94,-101.34,-100,100,,,,
22.2,0,0,-0.53,5.43,80.24,-97.65,-100,100,,,,
23.54,0,0,-0.53,5.2,76.49,-93.78,-100,100,,,,
24.92,0,0,-0.54,4.99,72.82,-90.44,-100,100,,,,
26.15,0,0,-0.54,4.8,69.63,-87.36,-100,100,,,,
27.06,0,0,-0.54,4.64,67.08,-84.75,-100,100,,,,
28.4,0,0,-0.53,4.39,63.22,-80.44,-100,100,,,,
29.73,0,0,-0.51,4.11,58.95,-75.76,-100,100,,,,
30.78,0,0,-0.51,3.89,55.24,-71.96,-100,100,,,,
32.15,0,0,-0.5,3.59,50.52,-66.91,-100,100,,,,
33.36,0,0,-0.5,3.32,46.16,-62.49,-100,100,,,,
34.74,0,0,-0.5,3,40.94,-57.3,-100,100,,,,
36.14,0,0,-0.5,2.66,35.35,-51.64,-100,100,,,,
36.96,0,0,-0.51,2.44,31.57,-48.23,-100,100,,,,
38.29,0,0,-0.52,2.07,25.36,-42.25,-100,100,,,,
39.64,0,0,-0.52,1.68,19.03,-36.08,-100,100,,,,
41,0,0,-0.5,1.3,12.99,-29.51,-100,100,,,,
41.91,0,0,-0.49,1.03,8.9,-24.94,-100,100,,,,
43.28,0,0,-0.49,0.62,2.18,-18.15,-100,100,,,,
44.67,0,0,-0.49,0.19,-4.83,-11.18,-100,100,,,,
45.49,0,0,-0.48,-0.06,-8.99,-6.88,-100,100,,,,
46.82,0,0,-0.47,-0.49,-15.67,0.24,-100,100,,,,
48.14,0,0,-0.46,-0.91,-22.57,7.38,-100,100,,,,
49.47,0,0,-0.46,-1.35,-29.69,14.59,-100,100,,,,
50.57,0,0,-0.45,-1.72,-35.53,20.9,0,0,,,,
51.76,0,0,-0.43,-2.14,-42.1,27.91,0,0,,,,
53.11,0,0,-0.43,-2.58,-49.28,35.18,0,0,,,,
53.94,0,0,-0.43,-2.83,-53.48,39.33,0,0,,,,
55.23,0,0,-0.44,-3.21,-59.66,45.35,0,0,,,,
56.25,0,0,-0.44,-3.5,-64.51,50.14,0,0,,,,
57.53,0,0,-0.44,-3.9,-70.95,56.58,0,0,,,,
58.82,0,0,-0.44,-4.33,-77.98,63.65,0,0,,,,
59.65,0,0,-0.43,-4.62,-82.77,68.62,0,0,,,,
60.95,0,0,-0.43,-5.09,-90.4,76.35,0,0,,,,
62.22,0,0,-0.43,-5.55,-97.98,83.89,0,0,,,,
63.24,0,0,-0.43,-5.92,-103.82,89.87,0,0,,,,
64.49,0,0,-0.42,-6.35,-110.72,97.08,0,0,,,,
65.84,0,0,-0.42,-6.8,-118.1,104.48,0,0,,,,
66.67,0,0,-0.42,-7.06,-122.48,108.76,0,0,,,,
68,0,0,-0.42,-7.47,-129.13,115.36,0,0,,,,
69.32,0,0,-0.42,-7.85,-135.37,121.75,0,0,,,,
70.24,0,0,-0.41,-8.11,-139.55,126.08,0,0,,,,
71.62,0,0,-0.41,-8.52,-146.18,132.85,0,0,,,,
72.86,0,0,-0.41,-8.91,-152.69,139.17,0,0,,,,
73.76,0,0,-0.42,-9.21,-157.59,143.88,0,0,,,,
75.08,0,0,-0.42,-9.64,-164.62,150.91,0,0,,,,
76.39,0,0,-0.42,-10.05,-171.36,157.7,0,0,,,,
77.41,0,0,-0.41,-10.36,-176.4,162.86,0,0,,,,
78.76,0,0,-0.41,-10.77,-182.92,169.54,0,0,,,,
79.98,0,0,-0.41,-11.12,-188.88,175.3,0,0,,,,
81.36,0,0,-0.42,-11.52,-195.4,181.76,0,0,,,,
82.2,0,0,-0.41,-11.76,-199.23,185.71,0,0,,,,
83.54,0,0,-0.4,-12.13,-205.16,192.06,0,0,,,,
84.87,0,0,-0.41,-12.51,-211.49,198.22,0,0,,,,
85.92,0,0,-0.4,-12.81,-216.25,203.05,0,0,,,,
87.21,0,0,-0.41,-13.18,-222.41,209.03,0,0,,,,
88.57,0,0,-0.41,-13.55,-228.54,215.16,0,0,,,,
89.78,0,0,-0.41,-13.89,-234.05,220.61,0,0,,,,
90.71,0,0,-0.41,-14.13,-238.07,224.67,0,0,,,,
92.04,0,0,-0.41,-14.48,-243.72,230.34,0,0,,,,
93.35,0,0,-0.41,-14.82,-249.32,236.03,0,0,,,,
94.4,0,0,-0.41,-15.11,-253.98,240.58,0,0,,,,
95.72,0,0,-0.41,-15.45,-259.61,246.27,0,0,,,,
97,0,0,-0.41,-15.79,-265.14,251.72,0,0,,,,
98.37,0,0,-0.41,-16.15,-271.1,257.65,0,0,,,,
99.63,0,0,-0.41,-16.47,-276.35,262.86,0,0,,,,
========================= [SUCCESS] Took 12.17 seconds =========================,,,,,,,,,,,,
