58.22,0,0,18.68,-3.82,243.33,368.39,0,0,,,,
59.53,0,0,19.31,-3.82,253.61,378.59,0,0,,,,
60.84,0,0,19.92,-3.81,263.63,388.41,0,0,,,,
61.73,0,0,20.32,-3.81,270.35,395.05,0,0,,,,
63.07,0,0,20.93,-3.79,280.61,404.8,0,0,,,,
64.45,0,0,21.54,-3.78,290.72,414.62,0,0,,,,
65.27,0,0,21.89,-3.78,296.59,420.25,0,0,,,,
66.58,0,0,22.44,-3.77,305.75,429.04,0,0,,,,
67.9,0,0,22.98,-3.76,314.69,437.83,0,0,,,,
68.73,0,0,23.31,-3.76,320.14,443.14,0,0,,,,
70.08,0,0,23.84,-3.75,328.93,451.76,0,0,,,,
71.45,0,0,24.37,-3.75,337.48,460.37,0,0,,,,
72.28,0,0,24.68,-3.75,342.51,465.4,0,0,,,,
73.59,0,0,25.16,-3.75,350.42,473.31,0,0,,,,
74.9,0,0,25.63,-3.74,358.24,480.83,0,0,,,,
75.86,0,0,25.96,-3.74,363.8,486.12,0,0,,,,
77.2,0,0,26.41,-3.73,371.36,493.33,0,0,,,,
78.49,0,0,26.83,-3.71,378.54,500.03,0,0,,,,
79.32,0,0,27.1,-3.71,382.85,504.27,0,0,,,,
80.62,0,0,27.51,-3.7,389.82,511,0,0,,,,
81.66,0,0,27.84,-3.7,395.24,516.31,0,0,,,,
82.87,0,0,28.2,-3.7,401.18,522.16,0,0,,,,
84.18,0,0,28.58,-3.69,407.44,528.33,0,0,,,,
85.06,0,0,28.82,-3.69,411.44,532.29,0,0,,,,
86.36,0,0,29.17,-3.69,417.22,537.89,0,0,,,,
87.67,0,0,29.51,-3.68,422.89,543.43,0,0,,,,
88.66,0,0,29.77,-3.68,427.02,547.6,0,0,,,,
90,0,0,30.11,-3.67,432.73,552.94,0,0,,,,
91.19,0,0,30.39,-3.67,437.52,557.56,0,0,,,,
92.12,0,0,30.61,-3.66,441.17,561.07,0,0,,,,
93.43,0,0,30.92,-3.66,446.37,566.08,0,0,,,,
94.74,0,0,31.23,-3.65,451.49,570.89,0,0,,,,
95.66,0,0,31.43,-3.64,454.92,574.21,0,0,,,,
97,0,0,31.72,-3.64,459.62,578.87,0,0,,,,
98.35,0,0,32,-3.64,464.28,583.33,0,0,,,,
99.17,0,0,32.16,-3.63,467.03,585.86,0,0,,,,
========================= [SUCCESS] Took 11.30 seconds =========================,,,,,,,,,,,,
