BEGIN CSV
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.00,6.99,5.08,6.99,5.08,197.59,31.22,0.00,0.04,0.00,256.41,17.46,9.81,17.46,40.00,48.11,145.52
2.67,7.00,5.08,7.00,5.07,197.68,31.53,0.03,-0.16,0.23,-1.48,17.68,10.06,17.90,8.58,48.11,145.52
6.72,7.05,5.09,7.06,5.07,198.51,32.50,0.17,-0.36,0.72,-1.14,17.99,10.43,18.71,9.30,48.11,145.52
9.65,7.12,5.09,7.16,5.11,200.91,33.46,-1.02,-0.37,-7.93,-0.36,18.20,10.69,10.27,10.33,48.11,145.52
11.92,7.18,5.10,7.26,5.18,203.65,34.10,-2.54,-0.04,-13.75,2.54,18.35,10.89,4.61,13.42,48.11,145.52
14.38,7.27,5.11,7.36,5.24,206.16,34.74,-3.45,0.60,-9.19,4.97,18.51,11.09,9.33,16.07,48.11,145.52
16.55,7.36,5.12,7.41,5.23,206.97,35.60,-2.62,1.04,4.63,4.44,18.65,11.27,23.27,15.70,48.11,145.52
18.74,7.46,5.13,7.45,5.21,207.28,36.74,-1.04,1.39,11.75,3.90,18.78,11.44,30.53,15.34,48.11,145.52
21.70,7.62,5.15,7.53,5.20,208.47,38.17,0.67,2.26,10.61,6.91,18.94,11.66,29.56,18.57,48.11,145.52
23.83,7.75,5.17,7.62,5.23,210.29,39.13,1.17,3.13,5.03,9.68,19.06,11.82,24.09,21.50,48.11,145.52
26.58,7.93,5.19,7.75,5.27,213.06,40.52,1.69,4.35,4.65,11.25,19.19,12.01,23.84,23.26,48.10,145.54
28.87,8.09,5.21,7.84,5.27,214.68,41.99,3.04,5.24,12.80,11.00,19.30,12.16,32.09,23.16,48.10,145.54
31.48,8.29,5.23,7.97,5.25,216.46,44.49,4.94,5.65,16.63,7.24,19.41,12.33,36.04,19.58,48.10,145.54
33.66,8.47,5.25,8.12,5.26,218.95,46.85,5.72,5.88,10.88,6.61,19.50,12.47,30.37,19.08,48.10,145.54
36.00,8.68,5.28,8.30,5.29,222.44,49.26,5.96,6.43,6.60,9.22,19.58,12.60,26.18,21.83,48.10,145.54
38.25,8.88,5.30,8.48,5.33,226.11,51.53,6.07,7.16,5.72,11.44,19.66,12.73,25.37,24.17,48.10,145.54
40.50,9.10,5.32,8.67,5.35,229.43,54.29,6.74,7.55,10.55,9.05,19.72,12.86,30.27,21.90,48.10,145.54
42.75,9.33,5.35,8.87,5.35,232.77,57.59,7.58,7.57,12.65,6.24,19.79,12.97,32.44,19.22,48.10,145.54
45.55,9.63,5.39,9.16,5.37,237.78,62.01,8.03,7.48,9.22,5.41,19.85,13.11,29.07,18.52,48.10,145.54
47.67,9.87,5.41,9.40,5.39,242.15,65.57,7.98,7.35,5.99,4.79,19.90,13.21,25.89,18.00,48.10,145.54
50.02,10.14,5.44,9.68,5.44,247.55,69.50,7.54,7.35,2.74,5.89,19.94,13.31,22.68,19.20,48.10,145.54
52.40,10.42,5.48,9.94,5.47,252.30,73.19,8.02,7.80,9.95,9.55,19.98,13.41,29.92,22.97,48.10,145.54
54.66,10.71,5.51,10.22,5.49,257.11,77.34,8.37,7.74,9.39,5.71,20.00,13.50,29.39,19.21,48.10,145.54
56.84,10.99,5.54,10.50,5.52,262.23,81.61,8.37,7.53,6.66,4.35,20.02,13.58,26.68,17.93,48.10,145.54
59.54,11.35,5.58,10.88,5.56,269.07,87.01,8.08,7.31,4.61,4.45,20.04,13.67,24.65,18.12,48.10,145.54
62.36,11.73,5.63,11.28,5.60,276.36,92.94,7.89,7.01,5.12,3.72,20.04,13.76,25.16,17.49,48.10,145.54
64.59,12.05,5.67,11.60,5.64,282.18,97.54,7.85,7.00,5.99,5.54,20.04,13.83,26.02,19.37,48.10,145.54
67.20,12.43,5.71,11.99,5.68,289.21,103.18,7.77,6.86,5.64,4.53,20.02,13.89,25.66,18.42,48.10,145.54
69.55,12.78,5.75,12.37,5.73,296.27,108.59,7.13,6.54,1.01,2.89,20.01,13.95,21.02,16.83,48.10,145.54
72.03,13.16,5.79,12.74,5.77,302.99,114.06,7.36,6.58,7.44,5.49,19.98,14.00,27.41,19.48,48.10,145.54
74.37,13.53,5.84,13.11,5.81,309.67,119.58,7.38,6.38,6.11,3.60,19.94,14.04,26.05,17.64,48.10,145.54
76.97,13.95,5.89,13.54,5.86,317.47,125.68,7.18,6.29,4.40,4.46,19.90,14.08,24.30,18.54,48.10,145.54
79.17,14.31,5.93,13.90,5.91,324.35,130.74,6.88,6.45,3.06,6.38,19.85,14.11,22.91,20.49,48.10,145.54
81.89,14.76,5.98,14.36,5.97,332.94,137.33,6.59,6.44,3.45,5.10,19.78,14.13,23.23,19.23,48.10,145.54
84.67,15.24,6.03,14.85,6.03,341.75,144.32,6.44,6.31,4.21,4.27,19.71,14.15,23.91,18.43,48.10,145.54
87.07,15.65,6.08,15.30,6.08,350.03,150.89,5.76,5.77,-0.34,0.66,19.63,14.16,19.29,14.82,48.11,145.52
89.78,16.13,6.14,15.75,6.14,358.43,157.30,6.13,6.30,7.25,8.42,19.54,14.16,26.79,22.59,48.11,145.52
92.11,16.55,6.19,16.18,6.21,366.43,163.21,5.75,6.43,1.79,6.13,19.45,14.16,21.24,20.29,48.11,145.52
95.01,17.08,6.25,16.71,6.27,376.27,170.97,5.59,6.34,3.45,4.54,19.33,14.15,22.78,18.68,48.11,145.52
97.23,17.49,6.30,17.14,6.32,384.03,176.99,5.34,6.27,2.33,4.48,19.23,14.13,21.56,18.61,48.11,145.52
100.01,18.01,6.36,17.65,6.38,393.50,184.50,5.39,6.30,4.65,5.25,19.09,14.11,23.74,19.35,48.11,145.52
103.00,18.58,6.42,18.23,6.47,404.33,192.57,4.96,6.48,1.45,6.24,18.94,14.07,20.38,20.30,48.11,145.52
105.54,19.07,6.48,18.73,6.53,413.49,199.60,4.75,6.54,2.32,5.65,18.79,14.03,21.11,19.68,48.11,145.52
108.16,19.58,6.54,19.30,6.60,423.91,207.91,3.67,5.63,-4.29,-1.56,18.64,13.98,14.35,12.42,48.11,145.52
110.78,20.10,6.60,19.76,6.65,432.41,214.67,4.58,6.33,9.76,9.70,18.47,13.92,28.23,23.63,48.11,145.52
113.49,20.64,6.66,20.29,6.71,442.10,222.28,4.75,6.54,4.93,6.63,18.29,13.85,23.22,20.48,48.11,145.52
116.67,21.28,6.73,20.93,6.80,453.86,231.35,4.65,6.71,3.17,6.26,18.07,13.77,21.23,20.02,48.11,145.52
119.27,21.80,6.79,21.46,6.86,463.52,238.95,4.64,6.76,3.66,5.76,17.88,13.69,21.53,19.45,48.11,145.52
122.05,22.37,6.86,22.03,6.92,473.96,247.43,4.56,6.48,3.10,3.42,17.66,13.59,20.76,17.02,48.11,145.52
124.53,22.88,6.92,22.54,6.98,483.12,254.71,4.71,6.59,4.87,6.07,17.46,13.50,22.33,19.57,48.11,145.52
126.89,23.37,6.98,23.02,7.04,492.07,261.61,4.71,6.78,3.78,6.83,17.26,13.41,21.04,20.24,48.11,145.52
