BEGIN CSV
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.00,7.00,5.08,6.99,5.08,197.70,31.27,0.00,0.11,0.00,640.97,17.46,9.80,17.46,40.00,48.13,166.38
2.63,7.01,5.08,7.26,5.09,202.07,35.55,-4.20,-4.03,-31.32,-30.86,17.67,10.05,-13.66,-20.80,48.14,166.37
14.72,7.29,5.11,7.39,5.12,204.73,37.24,-1.61,-1.57,2.46,2.31,18.53,11.12,20.99,13.43,48.14,166.37
16.95,7.39,5.13,7.50,5.15,207.10,38.34,-2.25,-1.30,-6.90,1.08,18.67,11.29,11.77,12.37,48.14,166.37
19.92,7.53,5.14,7.58,5.19,208.99,39.22,-1.48,-0.07,3.35,7.18,18.84,11.52,22.19,18.71,48.14,166.37
22.08,7.65,5.16,7.65,5.19,210.07,40.25,-0.38,0.63,8.66,6.15,18.96,11.69,27.63,17.84,48.14,166.37
24.81,7.82,5.18,7.72,5.18,211.17,41.68,1.58,1.62,13.80,7.66,19.10,11.88,32.91,19.55,48.14,166.37
26.94,7.96,5.19,7.80,5.18,212.42,42.87,2.94,2.50,13.48,9.23,19.21,12.03,32.68,21.26,48.14,166.37
29.55,8.15,5.21,7.91,5.20,214.66,44.47,4.15,3.63,11.44,10.50,19.32,12.20,30.77,22.71,48.13,166.38
32.11,8.35,5.24,8.03,5.22,217.03,45.97,5.44,5.04,13.18,13.67,19.43,12.37,32.61,26.04,48.13,166.38
34.49,8.55,5.26,8.17,5.24,219.52,47.88,6.60,6.02,13.82,11.99,19.52,12.51,33.34,24.51,48.13,166.38
36.71,8.75,5.28,8.30,5.25,221.80,49.97,7.92,6.79,16.77,11.53,19.60,12.64,36.38,24.17,48.13,166.38
39.65,9.03,5.32,8.50,5.28,225.52,52.65,9.28,8.13,15.51,14.47,19.70,12.81,35.20,27.28,48.13,166.38
41.81,9.24,5.34,8.67,5.32,229.05,54.78,9.67,9.12,10.92,15.27,19.76,12.92,30.68,28.19,48.13,166.38
44.12,9.48,5.37,8.87,5.36,233.03,57.46,10.09,9.92,11.23,14.01,19.82,13.04,31.05,27.05,48.13,166.38
47.07,9.81,5.41,9.16,5.40,238.26,61.55,10.78,10.52,12.68,11.97,19.88,13.18,32.56,25.15,48.13,166.38
49.29,10.06,5.43,9.39,5.41,242.30,65.24,11.36,10.50,13.75,8.23,19.93,13.28,33.67,21.51,48.13,166.38
52.25,10.41,5.48,9.76,5.45,248.85,70.53,11.28,10.32,8.53,7.24,19.97,13.40,28.51,20.65,48.15,166.36
54.62,10.71,5.51,10.04,5.49,254.23,74.38,11.30,10.76,9.16,11.81,20.00,13.50,29.16,25.30,48.15,166.36
57.05,11.02,5.55,10.34,5.55,260.10,78.53,11.14,11.13,7.81,11.60,20.02,13.59,27.82,25.19,48.15,166.36
59.43,11.34,5.58,10.66,5.59,265.90,83.03,11.13,11.21,8.79,9.57,20.03,13.67,28.83,23.23,48.15,166.36
61.74,11.66,5.62,10.98,5.62,271.75,87.85,11.06,10.98,8.34,7.02,20.04,13.74,28.38,20.76,48.15,166.36
64.75,12.08,5.67,11.43,5.66,279.63,94.44,10.93,10.54,8.00,5.85,20.03,13.83,28.03,19.68,48.15,166.36
67.01,12.41,5.71,11.78,5.70,286.09,99.45,10.49,10.30,5.00,6.40,20.02,13.88,25.02,20.28,48.15,166.36
69.65,12.81,5.75,12.19,5.76,293.87,105.21,9.92,10.25,4.15,7.90,20.00,13.95,24.15,21.85,48.15,166.36
72.10,13.18,5.80,12.61,5.81,301.65,111.34,9.00,9.56,0.60,2.66,19.97,13.99,20.57,16.65,48.13,166.38
75.19,13.67,5.85,13.09,5.85,310.11,118.50,9.42,9.43,9.93,6.85,19.93,14.05,29.86,20.89,48.13,166.38
77.43,14.03,5.89,13.47,5.89,316.94,124.08,9.19,9.08,5.54,4.54,19.88,14.08,25.43,18.62,48.13,166.38
80.20,14.48,5.95,13.95,5.95,325.76,130.83,8.71,8.94,3.91,6.22,19.82,14.11,23.73,20.34,48.13,166.38
83.14,14.98,6.00,14.46,6.03,335.42,137.99,8.09,8.95,2.84,7.24,19.75,14.14,22.58,21.38,48.13,166.38
85.42,15.37,6.05,14.86,6.08,342.85,143.72,7.81,8.87,4.03,6.50,19.68,14.15,23.71,20.65,48.13,166.38
88.09,15.84,6.10,15.34,6.13,351.42,150.67,7.76,8.69,5.94,5.74,19.59,14.16,25.53,19.90,48.13,166.38
90.39,16.25,6.15,15.76,6.17,358.91,156.93,7.73,8.34,5.90,3.98,19.51,14.16,25.41,18.14,48.13,166.38
92.82,16.69,6.20,16.24,6.23,367.85,163.89,6.80,7.72,-1.20,1.79,19.42,14.16,18.22,15.95,48.15,166.37
95.29,17.14,6.25,16.68,6.29,375.96,170.11,6.96,8.05,6.64,8.77,19.31,14.14,25.96,22.91,48.15,166.37
