,193.28,37.31,19.32,-6.46,0,0,11.02,-3.42,11.02,-3.42,,,,
43.48,7.49,5.61,7.04,4.73,,,,,,,,,,
,192.69,37.92,21.7,-7.13,0,0,11.15,-3.4,11.15,-3.4,,,,
45.35,7.53,5.65,7.05,4.7,,,,,,,,,,
,192.21,38.45,23.62,-7.69,0,0,11.26,-3.38,11.26,-3.38,,,,
47.3,7.58,5.7,7.05,4.66,,,,,,,,,,
,191.72,39.13,25.67,-8.42,0,0,11.36,-3.37,11.36,-3.37,,,,
49.41,7.63,5.76,7.06,4.62,,,,,,,,,,
,191.15,39.88,28,-9.21,0,0,11.48,-3.35,11.48,-3.35,,,,
51.29,7.68,5.81,7.07,4.59,,,,,,,,,,
,190.78,40.56,30.01,-9.94,0,0,11.58,-3.33,11.58,-3.33,,,,
53.07,7.73,5.86,7.07,4.55,,,,,,,,,,
,190.34,41.24,32.03,-10.67,0,0,11.67,-3.31,11.67,-3.31,,,,
55.19,7.78,5.92,7.08,4.51,,,,,,,,,,
,189.81,42.01,34.52,-11.49,0,0,11.79,-3.29,11.79,-3.29,,,,
57.23,7.84,5.98,7.1,4.48,,,,,,,,,,
,189.46,42.91,36.83,-12.44,0,0,11.89,-3.27,11.89,-3.27,,,,
59.52,7.91,6.05,7.11,4.43,,,,,,,,,,
,188.87,43.9,39.69,-13.5,0,0,12.01,-3.25,12.01,-3.25,,,,
61.41,7.97,6.11,7.12,4.38,,,,,,,,,,
,188.36,44.87,42.14,-14.52,0,0,12.11,-3.23,12.11,-3.23,,,,
63.28,8.03,6.18,7.14,4.34,,,,,,,,,,
,187.92,45.73,44.55,-15.43,0,0,12.2,-3.22,12.2,-3.22,,,,
65.53,8.1,6.25,7.15,4.29,,,,,,,,,,
,187.33,46.78,47.59,-16.55,0,0,12.31,-3.19,12.31,-3.19,,,,
67.42,8.16,6.32,7.17,4.25,,,,,,,,,,
,186.93,47.72,50.09,-17.55,0,0,12.41,-3.18,12.41,-3.18,,,,
70.04,8.25,6.41,7.19,4.19,,,,,,,,,,
,186.18,49.06,53.84,-18.98,0,0,12.54,-3.15,12.54,-3.15,,,,
71.9,8.32,6.48,7.2,4.14,,,,,,,,,,
,185.59,50.08,56.63,-20.05,0,0,12.63,-3.13,12.63,-3.13,,,,
73.83,8.39,6.55,7.21,4.09,,,,,,,,,,
,185.09,51.09,59.48,-21.12,0,0,12.72,-3.11,12.72,-3.11,,,,
76.02,8.47,6.64,7.23,4.04,,,,,,,,,,
,184.38,52.27,62.9,-22.38,0,0,12.82,-3.09,12.82,-3.09,,,,
77.92,8.54,6.72,7.25,3.98,,,,,,,,,,
,183.92,53.48,65.78,-23.66,0,0,12.91,-3.08,12.91,-3.08,,,,
79.7,8.61,6.79,7.27,3.93,,,,,,,,,,
,183.35,54.54,68.65,-24.78,0,0,12.99,-3.06,12.99,-3.06,,,,
81.97,8.7,6.88,7.29,3.87,,,,,,,,,,
,182.71,55.99,72.3,-26.31,0,0,13.1,-3.04,13.1,-3.04,,,,
83.88,8.77,6.96,7.31,3.82,,,,,,,,,,
,182.16,57.24,75.45,-27.63,0,0,13.18,-3.02,13.18,-3.02,,,,
86.1,8.86,7.06,7.34,3.75,,,,,,,,,,
,181.57,58.82,79.11,-29.3,0,0,13.28,-3,13.28,-3,,,,
88.01,8.94,7.14,7.37,3.69,,,,,,,,,,
,180.98,60.25,82.4,-30.8,0,0,13.37,-2.98,13.37,-2.98,,,,
89.81,9.02,7.23,7.39,3.63,,,,,,,,,,
,180.47,61.48,85.5,-32.1,0,0,13.45,-2.96,13.45,-2.96,,,,
92.1,9.12,7.33,7.42,3.56,,,,,,,,,,
,179.72,63.17,89.6,-33.89,0,0,13.55,-2.94,13.55,-2.94,,,,
94.01,9.21,7.42,7.45,3.5,,,,,,,,,,
