Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]  10.4% (used 2120 bytes from 20480 bytes)
Flash: [====      ]  42.7% (used 28012 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,X_Puck(cm),Y_Puck(cm)
68.54,8.20,6.36,42.94,-75.06,42.94,-75.06,3.21,-10.90,46.15,-85.96
70.10,8.25,6.41,46.11,-79.64,46.11,-79.64,3.19,-10.95,49.31,-90.59
71.67,8.31,6.47,49.37,-84.45,49.37,-84.45,3.18,-10.99,52.55,-95.45
73.24,8.36,6.53,52.96,-89.84,52.96,-89.84,3.17,-11.04,56.13,-100.00
74.80,8.42,6.59,57.06,-95.47,57.06,-95.47,3.15,-11.08,60.21,-100.00
76.36,8.48,6.65,61.57,-101.39,61.57,-101.39,3.14,-11.12,64.71,-100.00
77.92,8.54,6.72,66.18,-107.71,66.18,-107.71,3.12,-11.17,69.30,-100.00
79.48,8.60,6.78,70.45,-114.10,70.45,-114.10,3.11,-11.21,73.56,-100.00
81.02,8.66,6.84,74.59,-120.62,74.59,-120.62,3.10,-11.25,77.69,-100.00
82.58,8.72,6.91,79.20,-127.69,79.20,-127.69,3.08,-11.29,82.28,-100.00
84.13,8.78,6.97,84.42,-135.23,84.42,-135.23,3.07,-11.33,87.49,-100.00
85.88,8.85,7.05,90.57,-144.18,90.57,-144.18,3.05,-11.38,93.62,-100.00
87.44,8.92,7.12,96.06,-152.33,96.06,-152.33,3.04,-11.42,99.10,-100.00
89.00,8.99,7.19,101.59,-161.06,101.59,-161.06,3.02,-11.45,100.00,-100.00
90.53,9.05,7.26,107.63,-170.06,107.63,-170.06,3.01,-11.49,100.00,-100.00
92.07,9.12,7.33,114.00,-179.23,114.00,-179.23,2.99,-11.53,100.00,-100.00
93.98,9.20,7.42,121.77,-190.95,121.77,-190.95,2.98,-11.58,100.00,-100.00
95.53,9.27,7.49,128.29,-200.93,128.29,-200.93,2.96,-11.61,100.00,-100.00
97.45,9.36,7.59,137.27,-213.54,137.27,-213.54,2.95,-11.66,100.00,-100.00
98.98,9.43,7.66,144.52,-224.01,144.52,-224.01,2.93,-11.70,100.00,-100.00
100.52,9.51,7.74,152.26,-234.98,152.26,-234.98,2.92,-11.73,100.00,-100.00
102.28,9.59,7.83,161.54,-247.65,161.54,-247.65,2.90,-11.77,100.00,-100.00
103.83,9.66,7.91,169.89,-259.09,169.89,-259.09,2.89,-11.81,100.00,-100.00
105.53,9.75,7.99,179.77,-271.87,179.77,-271.87,2.87,-11.84,100.00,-100.00
107.75,9.86,8.11,192.97,-288.97,192.97,-288.97,2.85,-11.89,100.00,-100.00
109.26,9.93,8.19,202.35,-300.80,202.35,-300.80,2.84,-11.92,100.00,-100.00
110.79,10.01,8.27,212.12,-313.22,212.12,-313.22,2.82,-11.96,100.00,-100.00
112.73,10.11,8.38,224.80,-329.11,224.80,-329.11,2.80,-12.00,100.00,-100.00
114.35,10.20,8.47,235.66,-342.90,235.66,-342.90,2.79,-12.03,100.00,-100.00
115.89,10.28,8.56,246.40,-356.25,246.40,-356.25,2.77,-12.06,100.00,-100.00
118.06,10.40,8.68,261.95,-375.62,261.95,-375.62,2.75,-12.11,100.00,-100.00
119.66,10.48,8.77,273.72,-390.09,273.72,-390.09,2.74,-12.14,100.00,-100.00
121.51,10.59,8.88,287.63,-407.32,287.63,-407.32,2.72,-12.17,100.00,-100.00
123.12,10.68,8.97,300.04,-422.50,300.04,-422.50,2.71,-12.20,100.00,-100.00
124.66,10.76,9.06,312.14,-437.50,312.14,-437.50,2.69,-12.23,100.00,-100.00
126.94,10.89,9.20,330.45,-459.93,330.45,-459.93,2.67,-12.27,100.00,-100.00
128.53,10.98,9.30,343.52,-476.19,343.52,-476.19,2.65,-12.30,100.00,-100.00
130.31,11.09,9.41,358.58,-494.45,358.58,-494.45,2.64,-12.33,100.00,-100.00
131.93,11.18,9.51,372.51,-511.55,372.51,-511.55,2.62,-12.36,100.00,-100.00
133.54,11.28,9.61,386.72,-528.75,386.72,-528.75,2.61,-12.39,100.00,-100.00
135.09,11.37,9.71,400.56,-545.50,400.56,-545.50,2.59,-12.41,100.00,-100.00
137.23,11.50,9.84,420.01,-569.16,420.01,-569.16,2.57,-12.45,100.00,-100.00
138.85,11.60,9.95,434.85,-587.31,434.85,-587.31,2.56,-12.47,100.00,-100.00
140.62,11.71,10.06,451.49,-607.43,451.49,-607.43,2.54,-12.50,100.00,-100.00
142.27,11.81,10.17,467.23,-626.58,467.23,-626.58,2.52,-12.53,100.00,-100.00
========================= [SUCCESS] Took 20.89 seconds =========================
