--- Terminal on COM9 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward
481.79,31.89,41.20,999.05,-183.73,999.05,-183.73,-43.90,55.79
483.28,32.09,40.77,995.16,-173.37,995.16,-173.37,-43.00,54.53
484.76,32.29,40.33,991.22,-162.96,991.22,-162.96,-42.10,53.26
486.25,32.48,39.88,987.02,-152.39,987.02,-152.39,-41.18,51.98
487.73,32.68,39.43,982.90,-141.77,982.90,-141.77,-40.24,50.68
489.22,32.88,38.97,978.58,-130.91,978.58,-130.91,-39.29,49.37
490.71,33.08,38.50,974.18,-120.14,974.18,-120.14,-38.33,48.04
492.18,33.27,38.03,969.74,-109.16,969.74,-109.16,-37.36,46.70
493.67,33.47,37.55,965.18,-98.12,965.18,-98.12,-36.38,45.35
495.15,33.67,37.07,960.47,-87.01,960.47,-87.01,-35.38,43.99
496.63,33.87,36.59,955.75,-75.81,955.75,-75.81,-34.38,42.61
498.11,34.06,36.10,951.02,-64.63,951.02,-64.63,-33.35,41.22
499.59,34.26,35.61,946.19,-53.36,946.19,-53.36,-32.32,39.82
501.07,34.46,35.11,941.16,-41.88,941.16,-41.88,-31.27,38.39
502.56,34.65,34.61,936.18,-30.50,936.18,-30.50,-30.20,36.95
504.03,34.85,34.10,931.14,-19.09,931.14,-19.09,-29.14,35.51
505.50,35.04,33.60,926.10,-7.70,926.10,-7.70,-28.06,34.06
506.97,35.24,33.09,921.00,3.76,921.00,3.76,-26.96,32.59
508.44,35.43,32.59,915.80,15.15,915.80,15.15,-25.86,31.11
509.91,35.62,32.08,910.68,26.66,910.68,26.66,-24.74,29.62
511.38,35.81,31.57,905.35,38.21,905.35,38.21,-23.61,28.11
512.85,36.00,31.06,900.10,49.60,900.10,49.60,-22.46,26.59
514.31,36.19,30.55,894.90,61.00,894.90,61.00,-21.32,25.07
515.77,36.37,30.04,889.56,72.37,889.56,72.37,-20.16,23.52
517.25,36.56,29.52,884.20,83.91,884.20,83.91,-18.97,21.96
518.72,36.75,29.01,878.93,95.35,878.93,95.35,-17.78,20.38
520.19,36.93,28.50,873.48,106.74,873.48,106.74,-16.57,18.79
521.66,37.11,27.98,868.07,118.07,868.07,118.07,-15.34,17.18
523.13,37.29,27.48,862.65,129.47,862.65,129.47,-14.12,15.57
524.60,37.47,26.96,857.33,140.77,857.33,140.77,-12.87,13.93
526.08,37.65,26.46,851.90,152.00,851.90,152.00,-11.60,12.28
527.54,37.83,25.95,846.49,163.20,846.49,163.20,-10.33,10.62
529.02,38.01,25.44,841.14,174.42,841.14,174.42,-9.04,8.94
530.49,38.18,24.94,835.84,185.47,835.84,185.47,-7.74,7.25
531.97,38.35,24.44,830.38,196.37,830.38,196.37,-6.43,5.55
533.45,38.52,23.95,825.03,207.37,825.03,207.37,-5.10,3.82
534.91,38.69,23.46,819.73,218.07,819.73,218.07,-3.77,2.10
536.38,38.85,22.97,814.46,228.80,814.46,228.80,-2.42,0.36
537.84,39.02,22.49,809.12,239.30,809.12,239.30,-1.06,-1.39
539.31,39.18,22.01,804.12,249.74,804.12,249.74,0.31,-3.16
540.78,39.33,21.54,798.78,260.07,798.78,260.07,1.69,-4.94
542.25,39.49,21.07,793.78,270.29,793.78,270.29,3.09,-6.74
543.72,39.64,20.60,788.64,280.42,788.64,280.42,4.50,-8.55
545.18,39.80,20.15,783.70,290.38,783.70,290.38,5.92,-10.37
546.64,39.94,19.70,778.76,300.14,778.76,300.14,7.35,-12.20
548.12,40.09,19.25,773.88,309.95,773.88,309.95,8.81,-14.06
549.60,40.23,18.81,768.95,319.50,768.95,319.50,10.28,-15.93
551.06,40.38,18.38,764.14,328.81,764.14,328.81,11.76,-17.81
552.54,40.51,17.95,759.47,338.11,759.47,338.11,13.25,-19.71
554.02,40.65,17.53,754.78,347.19,754.78,347.19,14.77,-21.64
555.50,40.78,17.12,750.21,356.12,750.21,356.12,16.29,-23.57
556.98,40.91,16.71,745.72,364.87,745.72,364.87,17.83,-25.52
558.45,41.04,16.32,741.35,373.37,741.35,373.37,19.38,-27.48
559.93,41.16,15.93,737.06,381.70,737.06,381.70,20.94,-29.45
561.39,41.28,15.56,732.84,389.80,732.84,389.80,22.50,-31.42
562.86,41.40,15.19,728.79,397.69,728.79,397.69,24.08,-33.41
564.33,41.51,14.84,724.81,405.33,724.81,405.33,25.67,-35.42
565.81,41.62,14.49,720.93,412.83,720.93,412.83,27.28,-37.44
567.28,41.72,14.15,717.16,420.02,717.16,420.02,28.90,-39.48
568.75,41.83,13.83,713.49,427.01,713.49,427.01,30.53,-41.53
570.23,41.92,13.51,710.03,433.80,710.03,433.80,32.18,-43.59
571.69,42.02,13.21,706.50,440.25,706.50,440.25,33.83,-45.66
573.16,42.11,12.92,703.32,446.53,703.32,446.53,35.50,-47.75
574.63,42.19,12.64,700.13,452.49,700.13,452.49,37.19,-49.86
576.10,42.28,12.37,697.12,458.24,697.12,458.24,38.88,-51.97
577.57,42.36,12.12,694.24,463.70,694.24,463.70,40.59,-54.11
579.05,42.43,11.88,691.47,468.91,691.47,468.91,42.32,-56.26
580.52,42.50,11.65,688.84,473.78,688.84,473.78,44.06,-58.43
582.00,42.57,11.43,686.39,478.43,686.39,478.43,45.81,-60.60
583.47,42.63,11.23,684.08,482.70,684.08,482.70,47.57,-62.79
584.94,42.69,11.04,681.94,486.67,681.94,486.67,49.35,-64.99
586.42,42.74,10.87,679.96,490.42,679.96,490.42,51.14,-67.22
587.90,42.79,10.71,678.17,493.78,678.17,493.78,52.95,-69.46
589.38,42.83,10.57,676.53,496.86,676.53,496.86,54.77,-71.71
590.85,42.87,10.44,675.09,499.52,675.09,499.52,56.60,-73.97
592.31,42.90,10.33,673.79,502.00,673.79,502.00,58.43,-76.23
593.77,42.93,10.23,672.74,503.97,672.74,503.97,60.27,-78.50
595.26,42.95,10.15,671.73,505.66,671.73,505.66,62.14,-80.82
596.73,42.97,10.09,671.07,507.06,671.07,507.06,64.02,-83.13
598.19,42.99,10.04,670.56,508.07,670.56,508.07,65.91,-85.45
599.66,43.00,10.01,670.24,508.63,670.24,508.63,67.80,-87.79
601.13,43.00,10.00,670.06,508.95,670.06,508.95,12.14,-12.12
602.45,43.00,10.00,670.01,508.91,670.01,508.91,12.36,-12.30
603.91,43.00,10.00,670.11,508.89,670.11,508.89,12.61,-12.50
605.36,43.00,10.01,670.24,508.77,670.24,508.77,12.87,-12.71
606.83,43.00,10.02,670.37,508.64,670.37,508.64,13.12,-12.91
608.27,43.00,10.03,670.61,508.42,670.61,508.42,13.38,-13.12
609.74,43.00,10.05,670.85,508.18,670.85,508.18,13.63,-13.33
611.20,43.00,10.06,671.11,507.89,671.11,507.89,13.89,-13.54
612.65,43.00,10.08,671.47,507.54,671.47,507.54,14.15,-13.75
614.11,43.00,10.11,671.82,507.14,671.82,507.14,14.41,-13.96
615.57,43.00,10.13,672.25,506.73,672.25,506.73,14.67,-14.17
617.03,43.00,10.16,672.72,506.28,672.72,506.28,14.94,-14.38
618.49,43.00,10.19,673.27,505.74,673.27,505.74,15.20,-14.59
619.94,43.00,10.23,673.81,505.19,673.81,505.19,15.47,-14.80
621.40,43.00,10.27,674.39,504.49,674.39,504.49,15.73,-15.02
622.86,43.00,10.31,675.10,503.89,675.10,503.89,16.00,-15.23
624.31,43.00,10.35,675.76,503.18,675.76,503.18,16.27,-15.45
625.77,43.00,10.40,676.59,502.43,676.59,502.43,16.54,-15.67
627.22,43.00,10.45,677.34,501.55,677.34,501.55,16.81,-15.88
628.68,43.00,10.50,678.27,500.67,678.27,500.67,17.09,-16.10
630.14,43.00,10.56,679.18,499.84,679.18,499.84,17.36,-16.32
631.60,43.00,10.62,680.11,498.87,680.11,498.87,17.64,-16.54
633.05,43.00,10.68,681.08,497.84,681.08,497.84,17.91,-16.76
634.50,43.00,10.74,682.17,496.80,682.17,496.80,18.19,-16.98
635.95,43.00,10.81,683.26,495.70,683.26,495.70,18.47,-17.20
637.41,43.00,10.88,684.50,494.50,684.50,494.50,18.75,-17.43
638.87,43.00,10.96,685.75,493.26,685.75,493.26,19.03,-17.65
640.33,43.00,11.04,687.05,491.95,687.05,491.95,19.31,-17.88
641.78,43.00,11.12,688.32,490.60,688.32,490.60,19.60,-18.10
643.24,43.00,11.20,689.64,489.26,689.64,489.26,19.88,-18.33
644.70,43.00,11.29,691.21,487.80,691.21,487.80,20.17,-18.56
646.14,43.00,11.38,692.61,486.33,692.61,486.33,20.46,-18.78
647.61,43.00,11.48,694.19,484.77,694.19,484.77,20.75,-19.01
649.07,43.00,11.57,695.82,483.16,695.82,483.16,21.04,-19.25
650.53,43.00,11.68,697.49,481.43,697.49,481.43,21.33,-19.48
651.99,43.00,11.78,699.23,479.77,699.23,479.77,21.62,-19.71
653.45,43.00,11.89,700.93,478.03,700.93,478.03,21.92,-19.94
654.90,43.00,12.00,702.82,476.19,702.82,476.19,22.22,-20.18
656.36,43.00,12.12,704.66,474.30,704.66,474.30,22.51,-20.41
657.81,43.00,12.24,706.66,472.31,706.66,472.31,22.81,-20.65
659.27,43.00,12.36,708.71,470.34,708.71,470.34,23.11,-20.88
660.73,43.00,12.48,710.71,468.25,710.71,468.25,23.41,-21.12
662.19,43.00,12.61,712.88,466.14,712.88,466.14,23.71,-21.36
663.65,43.00,12.75,715.12,463.87,715.12,463.87,24.02,-21.60
665.10,43.00,12.89,717.29,461.67,717.29,461.67,24.32,-21.84
666.57,43.00,13.03,719.62,459.34,719.62,459.34,24.63,-22.08
668.01,43.00,13.17,721.95,456.95,721.95,456.95,24.93,-22.32
669.47,43.00,13.32,724.39,454.57,724.39,454.57,25.24,-22.56
670.93,43.00,13.47,726.81,452.09,726.81,452.09,25.55,-22.80
672.38,43.00,13.62,729.33,449.56,729.33,449.56,25.86,-23.04
673.84,43.00,13.78,731.97,446.93,731.97,446.93,26.17,-23.29
675.30,43.00,13.95,734.61,444.29,734.61,444.29,26.49,-23.54
676.76,43.00,14.12,737.41,441.56,737.41,441.56,26.80,-23.78
678.22,43.00,14.29,740.26,438.77,740.26,438.77,27.12,-24.03
679.68,43.00,14.46,743.04,435.92,743.04,435.92,27.44,-24.28
681.15,43.00,14.64,746.07,432.96,746.07,432.96,27.76,-24.53
682.60,43.00,14.82,748.98,429.93,748.98,429.93,28.08,-24.78
684.06,43.00,15.01,752.11,426.96,752.11,426.96,28.40,-25.03
685.50,43.00,15.20,755.14,423.78,755.14,423.78,28.72,-25.28
686.95,43.00,15.39,758.31,420.61,758.31,420.61,29.04,-25.53
688.41,43.00,15.59,761.59,417.35,761.59,417.35,29.37,-25.78
689.87,43.00,15.80,764.93,414.07,764.93,414.07,29.69,-26.04
691.33,43.00,16.00,768.28,410.70,768.28,410.70,30.02,-26.29
692.77,43.00,16.21,771.75,407.25,771.75,407.25,30.34,-26.55
694.24,43.00,16.43,775.22,403.71,775.22,403.71,30.68,-26.80
695.69,43.00,16.65,778.82,400.14,778.82,400.14,31.01,-27.06
697.15,43.00,16.87,782.46,396.48,782.46,396.48,31.34,-27.32
698.61,43.00,17.10,786.13,392.78,786.13,392.78,31.67,-27.58
700.06,43.00,17.33,789.98,388.98,789.98,388.98,32.01,-27.84
701.51,43.00,17.56,793.75,385.10,793.75,385.10,32.34,-28.10
702.97,43.00,17.80,797.78,381.22,797.78,381.22,32.68,-28.36
704.43,43.00,18.05,801.82,377.21,801.82,377.21,33.02,-28.62
705.89,43.00,18.30,805.85,373.09,805.85,373.09,33.36,-28.89
707.34,43.00,18.55,809.91,368.97,809.91,368.97,33.70,-29.15
708.81,43.00,18.81,814.16,364.74,814.16,364.74,34.04,-29.42
710.26,43.00,19.07,818.52,360.46,818.52,360.46,34.38,-29.68
711.72,43.00,19.34,822.87,356.09,822.87,356.09,34.73,-29.95
713.17,43.00,19.60,827.31,351.68,827.31,351.68,35.08,-30.22
714.63,43.00,19.88,831.76,347.23,831.76,347.23,35.42,-30.49
716.09,43.00,20.16,836.39,342.61,836.39,342.61,35.77,-30.76
717.55,43.00,20.44,841.03,338.04,841.03,338.04,36.12,-31.03
718.99,43.00,20.73,845.63,333.31,845.63,333.31,36.47,-31.29
720.46,43.00,21.02,850.44,328.43,850.44,328.43,36.82,-31.57
721.91,43.00,21.32,855.44,323.57,855.44,323.57,37.18,-31.84
723.37,43.00,21.62,860.29,318.69,860.29,318.69,37.53,-32.11
724.83,43.00,21.93,865.33,313.63,865.33,313.63,37.89,-32.39
726.29,43.00,22.24,870.46,308.57,870.46,308.57,38.25,-32.66
727.75,43.00,22.56,875.62,303.38,875.62,303.38,38.61,-32.94
729.20,43.00,22.88,880.82,298.12,880.82,298.12,38.97,-33.22
730.67,43.00,23.20,886.14,292.75,886.14,292.75,39.33,-33.50
732.12,43.00,23.53,891.62,287.41,891.62,287.41,39.69,-33.78
733.59,43.00,23.87,897.13,281.90,897.13,281.90,40.06,-34.06
735.03,43.00,24.21,902.59,276.33,902.59,276.33,40.42,-34.33
736.50,43.00,24.55,908.31,270.71,908.31,270.71,40.79,-34.62
737.95,43.00,24.90,914.03,264.97,914.03,264.97,41.16,-34.90
739.40,43.00,25.25,919.77,259.15,919.77,259.15,41.52,-35.18
740.86,43.00,25.61,925.70,253.31,925.70,253.31,41.89,-35.46
742.32,43.00,25.98,931.66,247.39,931.66,247.39,42.27,-35.75
743.79,43.00,26.35,937.72,241.30,937.72,241.30,42.64,-36.04
745.24,43.00,26.72,943.84,235.23,943.84,235.23,43.01,-36.32
746.70,43.00,27.10,949.95,229.01,949.95,229.01,43.39,-36.61
748.14,43.00,27.48,956.19,222.82,956.19,222.82,43.76,-36.90
749.60,43.00,27.87,962.55,216.37,962.55,216.37,44.14,-37.18
751.06,43.00,28.26,969.05,209.95,969.05,209.95,44.52,-37.47
752.51,43.00,28.66,975.56,203.49,975.56,203.49,44.90,-37.76
753.97,43.00,29.06,982.08,196.82,982.08,196.82,45.28,-38.06
755.42,43.00,29.47,988.77,190.21,988.77,190.21,45.66,-38.35
756.89,43.00,29.89,995.61,183.39,995.61,183.39,46.05,-38.64
758.34,43.00,30.30,1002.36,176.57,1002.36,176.57,46.43,-38.93
759.80,43.00,30.73,1009.37,169.59,1009.37,169.59,46.82,-39.23
761.27,43.00,31.16,1016.45,162.49,1016.45,162.49,47.21,-39.53
762.73,43.00,31.60,1023.63,155.36,1023.63,155.36,47.60,-39.83
764.19,43.00,32.04,1030.84,148.17,1030.84,148.17,47.99,-40.12
765.66,43.00,32.49,1038.08,140.84,1038.08,140.84,48.38,-40.42
767.12,43.00,32.94,1045.52,133.48,1045.52,133.48,48.78,-40.72
768.58,43.00,33.39,1053.02,125.97,1053.02,125.97,49.17,-41.02
770.04,43.00,33.86,1060.68,118.46,1060.68,118.46,49.57,-41.33
771.50,43.00,34.32,1068.24,110.75,1068.24,110.75,49.97,-41.63
772.97,43.00,34.80,1076.04,102.92,1076.04,102.92,50.37,-41.93
774.43,43.00,35.28,1083.85,95.20,1083.85,95.20,50.77,-42.24
775.89,43.00,35.76,1091.84,87.21,1091.84,87.21,51.17,-42.54
777.36,43.00,36.25,1099.72,79.18,1099.72,79.18,51.57,-42.85
778.82,43.00,36.75,1107.86,71.10,1107.86,71.10,51.98,-43.16
780.27,43.00,37.24,1115.90,62.99,1115.90,62.99,52.38,-43.46
781.74,43.00,37.75,1124.31,54.69,1124.31,54.69,52.79,-43.77
783.20,43.00,38.26,1132.66,46.26,1132.66,46.26,53.20,-44.08
784.66,43.00,38.78,1141.18,37.80,1141.18,37.80,53.60,-44.39
786.11,43.00,39.30,1149.68,29.28,1149.68,29.28,54.01,-44.70
787.56,43.00,39.82,1158.21,20.69,1158.21,20.69,54.42,-45.01
789.02,43.00,40.36,1167.02,11.98,1167.02,11.98,54.83,-45.32
790.47,43.00,40.89,1175.74,3.26,1175.74,3.26,55.24,-45.63
791.92,43.00,41.43,1184.62,-5.66,1184.62,-5.66,55.66,-45.95
793.38,43.00,41.98,1193.63,-14.64,1193.63,-14.64,56.07,-46.26
794.84,43.00,42.54,1202.67,-23.77,1202.67,-23.77,56.49,-46.58
796.32,43.00,43.11,1212.03,-33.03,1212.03,-33.03,56.92,-46.90
797.78,43.00,43.68,1221.32,-42.38,1221.32,-42.38,57.34,-47.22
799.26,43.00,44.26,1230.82,-51.94,1230.82,-51.94,57.76,-47.54
800.73,43.00,45.00,1242.93,-64.01,1242.93,-64.01,-95.82,105.92
802.14,43.00,45.55,1252.05,-73.06,1252.05,-73.06,-95.76,105.38
803.61,43.00,46.10,1260.91,-81.95,1260.91,-81.95,-95.67,104.80
805.08,43.00,46.62,1269.46,-90.50,1269.46,-90.50,-95.56,104.21
806.55,43.00,47.11,1277.47,-98.50,1277.47,-98.50,-95.44,103.61
808.03,43.00,47.57,1285.01,-106.07,1285.01,-106.07,-95.30,102.99
809.49,43.00,48.01,1292.33,-113.32,1292.33,-113.32,-95.13,102.37
810.98,43.00,48.42,1299.03,-120.07,1299.03,-120.07,-94.95,101.72
812.45,43.00,48.81,1305.38,-126.37,1305.38,-126.37,-94.75,101.06
813.93,43.00,49.17,1311.23,-132.29,1311.23,-132.29,-94.52,100.39
815.42,43.00,49.50,1316.78,-137.77,1316.78,-137.77,-94.28,99.70
816.90,43.00,49.81,1321.80,-142.86,1321.80,-142.86,-94.02,99.00
818.37,43.00,50.10,1326.44,-147.43,1326.44,-147.43,-93.74,98.30
819.85,43.00,50.36,1330.67,-151.69,1330.67,-151.69,-93.44,97.57
821.33,43.00,50.59,1334.52,-155.54,1334.52,-155.54,-93.12,96.84
822.80,43.00,50.80,1337.96,-159.00,1337.96,-159.00,-92.78,96.09
824.26,43.00,50.99,1341.04,-162.06,1341.04,-162.06,-92.43,95.33
825.74,43.00,51.15,1343.73,-164.73,1343.73,-164.73,-92.05,94.56
827.21,43.00,51.29,1346.01,-167.05,1346.01,-167.05,-91.66,93.78
828.67,43.00,51.41,1348.02,-169.04,1348.02,-169.04,-91.24,92.98
830.15,43.00,51.51,1349.69,-170.64,1349.69,-170.64,-90.81,92.17
831.62,43.00,51.59,1350.86,-171.84,1350.86,-171.84,-90.36,91.34
833.09,43.00,51.64,1351.70,-172.80,1351.70,-172.80,-89.88,90.51
834.55,43.00,51.68,1352.34,-173.36,1352.34,-173.36,-89.40,89.66
836.03,43.00,51.69,1352.54,-173.51,1352.54,-173.51,-88.88,88.80
837.50,43.00,51.68,1352.37,-173.41,1352.37,-173.41,-88.35,87.92
838.98,43.00,51.66,1351.96,-173.00,1351.96,-173.00,-87.80,87.03
840.44,43.00,51.61,1351.24,-172.30,1351.24,-172.30,-87.24,86.13
841.92,43.00,51.55,1350.16,-171.26,1350.16,-171.26,-86.64,85.21
843.40,43.00,51.46,1348.72,-169.78,1348.72,-169.78,-86.03,84.27
844.88,43.00,51.36,1347.13,-168.17,1347.13,-168.17,-85.40,83.33
846.36,43.00,51.24,1345.16,-166.20,1345.16,-166.20,-84.75,82.37
847.83,43.00,51.10,1342.86,-164.03,1342.86,-164.03,-84.09,81.40
849.31,43.00,50.95,1340.40,-161.37,1340.40,-161.37,-83.40,80.42
850.78,43.00,50.78,1337.49,-158.57,1337.49,-158.57,-82.70,79.42
852.27,43.00,50.59,1334.41,-155.47,1334.41,-155.47,-81.97,78.40
853.74,43.00,50.38,1331.18,-152.09,1331.18,-152.09,-81.22,77.38
855.22,43.00,50.16,1327.45,-148.51,1327.45,-148.51,-80.45,76.34
856.70,43.00,49.92,1323.60,-144.62,1323.60,-144.62,-79.67,75.30
858.17,43.00,49.67,1319.46,-140.52,1319.46,-140.52,-78.87,74.24
859.64,43.00,49.41,1315.18,-136.13,1315.18,-136.13,-78.05,73.17
861.11,43.00,49.13,1310.62,-131.61,1310.62,-131.61,-77.21,72.08
862.58,43.00,48.83,1305.73,-126.79,1305.73,-126.79,-76.35,70.98
864.06,43.00,48.52,1300.73,-121.79,1300.73,-121.79,-75.47,69.87
865.54,43.00,48.20,1295.48,-116.51,1295.48,-116.51,-74.57,68.74
867.02,43.00,47.87,1289.95,-110.88,1289.95,-110.88,-73.65,67.60
868.49,43.00,47.52,1284.31,-105.33,1284.31,-105.33,-72.71,66.44
869.97,43.00,47.16,1278.33,-99.34,1278.33,-99.34,-71.75,65.27
871.45,43.00,46.79,1272.23,-93.29,1272.23,-93.29,-70.77,64.09
872.93,43.00,46.40,1265.94,-87.00,1265.94,-87.00,-69.77,62.90
874.39,43.00,46.01,1259.60,-80.55,1259.60,-80.55,-68.76,61.70
875.86,43.00,45.61,1253.03,-74.00,1253.03,-74.00,-67.73,60.49
877.32,43.00,45.20,1246.27,-67.29,1246.27,-67.29,-66.69,59.27
878.80,43.00,44.77,1239.26,-60.26,1239.26,-60.26,-65.61,58.02
880.26,43.00,44.34,1232.15,-53.18,1232.15,-53.18,-64.52,56.77
881.74,43.00,43.90,1224.91,-45.92,1224.91,-45.92,-63.41,55.50
883.20,43.00,43.45,1217.58,-38.60,1217.58,-38.60,-62.29,54.23
884.67,43.00,42.99,1209.98,-31.11,1209.98,-31.11,-61.15,52.94
886.14,43.00,42.52,1202.45,-23.45,1202.45,-23.45,-59.98,51.64
887.61,43.00,42.04,1194.65,-15.60,1194.65,-15.60,-58.79,50.31
889.08,43.00,41.56,1186.64,-7.70,1186.64,-7.70,-57.58,48.98
890.56,43.00,41.07,1178.58,0.41,1178.58,0.41,-56.36,47.64
892.01,43.00,40.57,1170.53,8.45,1170.53,8.45,-55.13,46.30
893.46,43.00,40.08,1162.44,16.57,1162.44,16.57,-53.88,44.94
894.92,43.00,39.57,1154.13,24.83,1154.13,24.83,-52.61,43.57
896.38,43.00,39.06,1145.86,33.26,1145.86,33.26,-51.32,42.19
897.84,43.00,38.54,1137.27,41.67,1137.27,41.67,-50.01,40.79
899.30,43.00,38.02,1128.68,50.24,1128.68,50.24,-48.68,39.37
900.76,43.00,37.49,1120.11,58.88,1120.11,58.88,-47.34,37.96
902.22,43.00,36.96,1111.36,67.65,1111.36,67.65,-45.96,36.51
903.68,43.00,36.42,1102.50,76.35,1102.50,76.35,-44.58,35.06
905.14,43.00,35.89,1093.83,85.25,1093.83,85.25,-43.17,33.60
906.61,43.00,35.34,1084.89,94.10,1084.89,94.10,-41.74,32.12
908.06,43.00,34.80,1075.98,103.03,1075.98,103.03,-40.30,30.64
909.52,43.00,34.25,1067.07,111.96,1067.07,111.96,-38.84,29.14
910.98,43.00,33.70,1057.94,120.98,1057.94,120.98,-37.36,27.62
912.45,43.00,33.14,1048.92,130.04,1048.92,130.04,-35.85,26.09
913.92,43.00,32.59,1039.91,139.14,1039.91,139.14,-34.33,24.54
915.38,43.00,32.04,1030.77,148.21,1030.77,148.21,-32.79,22.99
916.84,43.00,31.48,1021.68,157.35,1021.68,157.35,-31.22,21.42
918.31,43.00,30.92,1012.53,166.41,1012.53,166.41,-29.63,19.83
919.78,43.00,30.36,1003.37,175.63,1003.37,175.63,-28.03,18.23
921.24,43.00,29.81,994.24,184.72,994.24,184.72,-26.41,16.62
922.72,43.00,29.25,985.05,193.91,985.05,193.91,-24.76,14.99
924.17,43.00,28.70,976.08,202.88,976.08,202.88,-23.12,13.37
925.63,43.00,28.14,967.05,211.87,967.05,211.87,-21.44,11.73
927.09,43.00,27.60,958.01,220.90,958.01,220.90,-19.76,10.08
928.54,43.00,27.05,949.15,229.79,949.15,229.79,-18.06,8.42
930.00,43.00,26.51,940.23,238.80,940.23,238.80,-16.33,6.74
931.46,43.00,25.96,931.37,247.61,931.37,247.61,-14.59,5.05
932.91,43.00,25.42,922.48,256.35,922.48,256.35,-12.82,3.35
934.38,43.00,24.89,913.74,265.20,913.74,265.20,-11.03,1.62
935.82,43.00,24.36,905.04,273.88,905.04,273.88,-9.24,-0.09
937.28,43.00,23.83,896.48,282.53,896.48,282.53,-7.43,-1.83
938.75,43.00,23.31,887.86,291.14,887.86,291.14,-5.58,-3.60
940.20,43.00,22.79,879.35,299.53,879.35,299.53,-3.72,-5.36
941.66,43.00,22.27,870.93,307.96,870.93,307.96,-1.84,-7.15
943.13,43.00,21.76,862.67,316.36,862.67,316.36,0.06,-8.94
944.58,43.00,21.26,854.41,324.53,854.41,324.53,1.97,-10.74
946.04,43.00,20.77,846.30,332.66,846.30,332.66,3.91,-12.57
947.50,43.00,20.28,838.25,340.71,838.25,340.71,5.86,-14.40
948.96,43.00,19.80,830.40,348.49,830.40,348.49,7.84,-16.24
950.41,43.00,19.32,822.74,356.28,822.74,356.28,9.82,-18.09
951.87,43.00,18.85,814.98,364.04,814.98,364.04,11.84,-19.97
953.33,43.00,18.40,807.49,371.51,807.49,371.51,13.87,-21.85
954.80,43.00,17.94,800.02,378.90,800.02,378.90,15.93,-23.76
956.25,43.00,17.50,792.78,386.13,792.78,386.13,17.98,-25.65
957.71,43.00,17.07,785.72,393.26,785.72,393.26,20.07,-27.58
959.16,43.00,16.65,778.90,400.22,778.90,400.22,22.17,-29.51
960.61,43.00,16.23,772.09,406.87,772.09,406.87,24.28,-31.44
962.07,43.00,15.83,765.50,413.53,765.50,413.53,26.43,-33.41
963.53,43.00,15.44,759.12,419.93,759.12,419.93,28.59,-35.37
965.00,43.00,15.05,752.74,426.26,752.74,426.26,30.78,-37.37
966.45,43.00,14.68,746.63,432.33,746.63,432.33,32.98,-39.36
967.92,43.00,14.32,740.73,438.28,740.73,438.28,35.21,-41.38
969.38,43.00,13.97,735.02,443.90,735.02,443.90,37.45,-43.41
970.83,43.00,13.64,729.56,449.42,729.56,449.42,39.69,-45.43
972.29,43.00,13.31,724.27,454.65,724.27,454.65,41.98,-47.49
973.75,43.00,13.00,719.04,459.85,719.04,459.85,44.27,-49.55
975.20,43.00,12.70,714.37,464.64,714.37,464.64,46.57,-51.61
976.66,43.00,12.42,709.62,469.29,709.62,469.29,48.91,-53.71
978.13,43.00,12.15,705.14,473.78,705.14,473.78,51.28,-55.82
979.59,43.00,11.89,700.94,477.96,700.94,477.96,53.65,-57.94
981.05,43.00,11.65,697.08,481.93,697.08,481.93,56.04,-60.06
982.50,43.00,11.42,693.32,485.64,693.32,485.64,58.44,-62.19
983.97,43.00,11.21,689.87,489.05,689.87,489.05,60.88,-64.35
985.43,43.00,11.02,686.70,492.27,686.70,492.27,63.33,-66.52
986.88,43.00,10.84,683.66,495.19,683.66,495.19,65.79,-68.69
988.34,43.00,10.67,681.12,497.89,681.12,497.89,68.28,-70.89
989.81,43.00,10.53,678.71,500.29,678.71,500.29,70.80,-73.10
991.25,43.00,10.40,676.57,502.39,676.57,502.39,73.30,-75.29
992.71,43.00,10.29,674.73,504.24,674.73,504.24,75.84,-77.52
994.17,43.00,10.19,673.25,505.78,673.25,505.78,78.40,-79.76
995.63,43.00,10.12,672.03,506.93,672.03,506.93,80.97,-82.01
997.08,43.00,10.06,671.03,507.91,671.03,507.91,83.56,-84.27
998.53,43.00,10.02,670.40,508.59,670.40,508.59,86.16,-86.54
999.99,43.00,10.00,670.16,508.86,670.16,508.86,88.80,-88.83
1001.45,43.00,10.00,669.99,508.93,669.99,508.93,35.57,-7.88
1002.81,43.00,10.00,670.14,508.90,670.14,508.90,35.87,-7.91
1004.27,43.01,10.01,670.42,509.02,670.42,509.02,36.18,-7.94
1005.73,43.03,10.02,670.91,509.08,670.91,509.08,36.49,-7.97
1007.20,43.05,10.04,671.52,509.23,671.52,509.23,36.79,-8.01
1008.66,43.08,10.06,672.41,509.34,672.41,509.34,37.08,-8.05
