--- Terminal on COM9 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,X_Puck(cm),Y_Puck(cm)
103.31,24.40,23.49,-4.96,4.86,-4.96,4.86,56.65,-5.39
104.87,24.83,23.95,-5.54,6.43,-5.54,6.43,56.07,-5.05
106.42,25.26,24.40,-6.57,6.33,-6.57,6.33,55.48,-4.71
107.98,25.70,24.86,-5.85,7.18,-5.85,7.18,54.88,-4.37
109.54,26.13,25.32,-6.84,8.42,-6.84,8.42,54.26,-4.03
111.10,26.57,25.78,-6.66,8.41,-6.66,8.41,53.62,-3.69
112.65,27.01,26.23,-7.08,9.70,-7.08,9.70,52.98,-3.35
114.19,27.44,26.69,-7.19,10.75,-7.19,10.75,52.32,-3.02
115.74,27.88,27.15,-7.75,10.81,-7.75,10.81,51.65,-2.68
117.30,28.33,27.62,-7.65,12.02,-7.65,12.02,50.97,-2.34
118.84,28.77,28.08,-7.96,12.35,-7.96,12.35,50.27,-2.00
120.40,29.21,28.55,-8.54,12.74,-8.54,12.74,49.55,-1.65
121.96,29.66,29.01,-8.35,13.78,-8.35,13.78,48.82,-1.31
123.52,30.11,29.48,-9.18,13.83,-9.18,13.83,48.08,-0.97
125.08,30.55,29.95,-8.95,14.45,-8.95,14.45,47.32,-0.63
126.64,31.00,30.42,-9.53,15.05,-9.53,15.05,46.55,-0.28
128.18,31.44,30.88,-9.96,15.20,-9.96,15.20,45.77,0.06
129.72,31.89,31.34,-10.30,15.68,-10.30,15.68,44.98,0.40
131.28,32.33,31.81,-10.67,15.64,-10.67,15.64,44.17,0.75
132.83,32.78,32.28,-11.03,15.77,-11.03,15.77,43.34,1.09
134.39,33.22,32.74,-11.35,15.82,-11.35,15.82,42.50,1.44
135.95,33.67,33.21,-11.81,15.46,-11.81,15.46,41.65,1.78
137.51,34.12,33.67,-12.10,15.58,-12.10,15.58,40.78,2.13
139.07,34.56,34.14,-12.56,15.18,-12.56,15.18,39.90,2.48
140.63,35.01,34.60,-13.58,14.92,-13.58,14.92,39.00,2.82
142.18,35.45,35.06,-13.38,14.79,-13.38,14.79,38.09,3.17
143.74,35.89,35.52,-14.43,14.05,-14.43,14.05,37.17,3.52
145.28,36.33,35.98,-14.69,13.76,-14.69,13.76,36.24,3.86
146.85,36.77,36.44,-15.14,13.14,-15.14,13.14,35.29,4.21
148.41,37.21,36.89,-15.77,12.09,-15.77,12.09,34.32,4.56
149.97,37.64,37.34,-16.07,11.86,-16.07,11.86,33.34,4.91
151.53,38.08,37.80,-16.52,11.01,-16.52,11.01,32.35,5.26
153.08,38.51,38.24,-17.00,10.18,-17.00,10.18,31.35,5.61
154.63,38.94,38.69,-17.70,9.94,-17.70,9.94,30.33,5.96
156.19,39.37,39.13,-17.63,8.94,-17.63,8.94,29.30,6.31
157.74,39.79,39.57,-18.75,8.24,-18.75,8.24,28.26,6.66
159.31,40.22,40.01,-18.78,7.71,-18.78,7.71,27.19,7.01
160.85,40.63,40.44,-18.92,6.58,-18.92,6.58,26.13,7.36
162.42,41.06,40.88,-19.54,6.13,-19.54,6.13,25.03,7.72
163.97,41.47,41.30,-19.28,5.56,-19.28,5.56,23.94,8.07
165.52,41.88,41.73,-19.82,4.64,-19.82,4.64,22.82,8.42
167.08,42.29,42.15,-19.92,4.33,-19.92,4.33,21.69,8.77
168.62,42.69,42.57,-20.14,3.72,-20.14,3.72,20.56,9.12
170.17,43.09,42.98,-20.17,3.09,-20.17,3.09,19.41,9.48
171.72,43.49,43.39,-19.99,2.75,-19.99,2.75,18.24,9.83
173.28,43.89,43.80,-19.64,2.10,-19.64,2.10,17.05,10.19
174.83,44.28,44.20,-19.44,1.67,-19.44,1.67,15.86,10.54
