BEGIN CSV
Fully Homed
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.00,6.99,5.08,6.99,5.08,197.59,31.29,0.00,-0.02,0.00,-0.02,37.70,20.46,20.00,19.98,0.62,1.68
2.67,7.01,5.08,6.99,5.08,197.59,31.25,0.39,0.37,0.39,0.37,37.83,20.82,20.00,20.00,0.62,1.68
5.17,7.07,5.09,7.01,5.08,197.94,31.46,1.15,1.03,1.15,1.03,37.92,21.14,20.00,20.00,0.62,1.68
7.47,7.16,5.10,7.04,5.09,198.51,31.93,2.22,1.87,2.22,1.87,37.99,21.42,20.00,20.00,0.62,1.68
9.93,7.29,5.11,7.08,5.09,199.21,32.61,3.90,3.08,3.90,3.08,38.03,21.69,20.00,20.00,0.62,1.68
12.45,7.46,5.13,7.13,5.09,199.96,33.42,6.25,4.72,6.25,4.72,38.05,21.95,20.00,20.00,0.62,1.68
14.60,7.64,5.15,7.18,5.08,200.80,34.37,8.57,6.28,8.57,6.28,38.04,22.15,20.00,20.00,0.62,1.68
17.40,7.90,5.18,7.26,5.09,202.09,35.55,12.07,8.89,12.07,8.89,38.00,22.39,20.00,20.00,0.62,1.68
19.53,8.13,5.21,7.32,5.09,203.24,36.54,15.10,11.21,15.10,11.21,37.94,22.56,20.00,20.00,0.62,1.68
22.10,8.43,5.25,7.40,5.09,204.42,37.88,19.49,14.29,19.49,14.29,37.85,22.74,20.00,20.00,0.62,1.68
24.43,8.74,5.28,7.48,5.09,205.65,39.16,23.83,17.43,23.83,17.43,37.75,22.88,20.00,20.00,0.62,1.68
27.24,9.14,5.33,7.58,5.08,207.30,40.85,29.56,21.58,29.56,21.58,37.58,23.02,20.00,20.00,0.62,1.68
29.41,9.48,5.37,7.67,5.09,208.73,42.23,34.27,25.06,34.27,25.06,37.44,23.12,20.00,20.00,0.62,1.68
32.04,9.91,5.42,7.77,5.08,210.40,43.95,40.56,29.66,40.56,29.66,37.23,23.21,20.00,20.00,0.62,1.68
34.23,10.30,5.46,7.86,5.08,211.87,45.44,46.14,33.75,46.14,33.75,37.04,23.27,20.00,20.00,0.62,1.68
36.73,10.76,5.52,7.98,5.08,213.78,47.40,52.73,38.53,52.73,38.53,36.79,23.31,20.00,20.00,0.62,1.68
39.18,11.24,5.57,8.09,5.08,215.72,49.31,59.57,43.57,59.57,43.57,36.52,23.34,20.00,20.00,0.62,1.68
42.25,11.88,5.64,8.24,5.09,218.13,51.53,68.72,50.52,68.72,50.52,36.15,23.34,20.00,20.00,0.62,1.68
