BEGIN CSV
7,1395.24,-33.37,880044224.00,-849335552.00,20.00,-20.00
,0.47,1.81582406.37,92.01,94.42,50.41,50.79,1656.66,-6.13,1395.24,-33.32,1395.24,-33.32,880053568.00,-849344640.00,20.00,-20.00
,0.47,1.81582409.24,92.01,94.42,50.41,50.79,1656.62,-6.11,1395.28,-33.34,1395.28,-33.34,880062912.00,-849353536.00,20.00,-20.00
,0.47,1.81582412.11,92.01,94.42,50.41,50.79,1656.59,-6.13,1395.31,-33.32,1395.31,-33.32,880072384.00,-849362688.00,20.00,-20.00
,0.47,1.81582415.04,92.01,94.42,50.41,50.79,1656.64,-6.13,1395.26,-33.32,1395.26,-33.32,880082176.00,-849372096.00,20.00,-20.00
,0.47,1.81582417.91,92.01,94.42,50.41,50.79,1656.73,-6.13,1395.17,-33.32,1395.17,-33.32,880091648.00,-849381248.00,20.00,-20.00
,0.47,1.81582421.08,92.01,94.42,50.41,50.78,1656.57,-6.11,1395.33,-33.34,1395.33,-33.34,880102208.00,-849391424.00,20.00,-20.00
,0.47,1.81582424.32,92.01,94.42,50.41,50.78,1656.59,-6.11,1395.31,-33.34,1395.31,-33.34,880112832.00,-849401728.00,20.00,-20.00
,0.47,1.81582427.49,92.01,94.42,50.41,50.78,1656.53,-6.11,1395.37,-33.34,1395.37,-33.34,880123264.00,-849411776.00,20.00,-20.00
,0.47,1.81582431.03,92.01,94.42,50.41,50.79,1656.66,-6.09,1395.24,-33.37,1395.24,-33.37,880135104.00,-849423168.00,20.00,-20.00
,0.47,1.81582434.02,92.01,94.42,50.41,50.78,1656.59,-6.09,1395.31,-33.37,1395.31,-33.37,880144896.00,-849432704.00,20.00,-20.00
,0.47,1.81582437.19,92.01,94.42,50.41,50.78,1656.57,-6.11,1395.33,-33.34,1395.33,-33.34,880155520.00,-849442816.00,20.00,-20.00
,0.47,1.81582440.43,92.01,94.42,50.41,50.79,1656.64,-6.11,1395.26,-33.34,1395.26,-33.34,880166080.00,-849453120.00,20.00,-20.00
,0.47,1.81582443.66,92.01,94.42,50.41,50.79,1656.62,-6.15,1395.28,-33.30,1395.28,-33.30,880176768.00,-849463424.00,20.00,-20.00
,0.47,1.81582446.78,92.01,94.42,50.41,50.79,1656.64,-6.11,1395.26,-33.34,1395.26,-33.34,880187072.00,-849473280.00,20.00,-20.00
,0.47,1.81582449.83,92.01,94.42,50.41,50.79,1656.66,-6.09,1395.24,-33.37,1395.24,-33.37,880197248.00,-849483200.00,20.00,-20.00
,0.47,1.81582453.00,92.01,94.42,50.41,50.78,1656.64,-6.04,1395.26,-33.41,1395.26,-33.41,880207680.00,-849493248.00,20.00,-20.00
,0.47,1.81582456.12,92.01,94.42,50.41,50.79,1656.59,-6.13,1395.31,-33.32,1395.31,-33.32,880217856.00,-849503104.00,20.00,-20.00
,0.47,1.81582459.29,92.01,94.42,50.41,50.79,1656.64,-6.11,1395.26,-33.34,1395.26,-33.34,880228352.00,-849513152.00,20.00,-20.00
,0.47,1.81582462.40,92.01,94.42,50.41,50.79,1656.66,-6.15,1395.24,-33.30,1395.24,-33.30,880238784.00,-849523136.00,20.00,-20.00
,0.47,1.81582465.58,92.01,94.42,50.41,50.78,1656.57,-6.09,1395.33,-33.37,1395.33,-33.37,880249280.00,-849533440.00,20.00,-20.00
,0.47,1.81582468.75,92.01,94.42,50.41,50.79,1656.68,-6.13,1395.22,-33.32,1395.22,-33.32,880259776.00,-849543488.00,20.00,-20.00
,0.47,1.81582471.86,92.01,94.42,50.41,50.79,1656.68,-6.11,1395.22,-33.34,1395.22,-33.34,880270016.00,-849553408.00,20.00,-20.00
,0.47,1.81582475.10,92.01,94.42,50.41,50.79,1656.64,-6.09,1395.26,-33.37,1395.26,-33.37,880280704.00,-849563712.00,20.00,-20.00
,0.47,1.81582478.21,92.01,94.42,50.41,50.78,1656.64,-6.06,1395.26,-33.39,1395.26,-33.39,880291072.00,-849573632.00,20.00,-20.00
,0.47,1.81582481.38,92.01,94.42,50.41,50.78,1656.62,-6.09,1395.28,-33.37,1395.28,-33.37,880301440.00,-849583744.00,20.00,-20.00
