BEGIN CSV
BEGIN CSV
HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.12,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.19,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.31,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.29,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.26,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.25,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.25,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.25,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.25,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.25,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.25,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00DEFEND STATE
t, x_cmd, y_cmd, theta, v
0.16,-0.20,0.20,1.20,0.00DEFEND STATE
t, x_cmd, y_cmd, theta, v
0.12,1.87,0.20,-0.68,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.12,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.12,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.22,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.16,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.15,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.14,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.14,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.14,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00DEFEND STATE
t, x_cmd, y_cmd, theta, v
1.03,-0.41,0.20,1.10,0.00DEFEND STATE
t, x_cmd, y_cmd, theta, v
0.10,1.49,0.20,-1.06,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,-0.08,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.08,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.14,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.18,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.25,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.24,0.00HOME STATE
