BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.00,7.00,5.09,7.00,5.09,197.92,31.33,0.00,-0.07,0.05,-230.77,17.35,9.93,17.40,-100.00,21.18,189.06
2.64,7.01,5.09,6.43,7.75,232.17,-21.60,-34.08,53.01,-253.14,394.22,17.57,10.20,-100.00,100.00,21.15,189.06
39.90,9.06,5.33,6.44,8.24,240.33,-29.40,-4.88,90.42,9.81,89.91,19.73,13.13,29.54,100.00,21.15,189.06
42.45,9.31,5.36,6.49,8.51,245.51,-33.13,-5.39,97.87,-7.79,129.47,19.81,13.28,12.02,100.00,21.15,189.06
45.06,9.59,5.39,6.62,8.70,250.78,-34.04,-5.61,102.77,-5.97,115.08,19.88,13.42,13.91,100.00,21.15,189.06
47.36,9.84,5.42,6.84,8.95,258.47,-34.52,-8.65,106.94,-30.07,117.30,19.94,13.53,-10.13,100.00,21.15,189.06
50.18,10.17,5.46,7.16,9.30,269.46,-34.94,-13.68,112.09,-42.14,121.58,20.00,13.67,-22.15,100.00,21.15,189.06
53.12,10.52,5.50,7.55,9.56,280.18,-32.87,-17.90,115.17,-39.53,110.52,20.05,13.80,-19.48,100.00,21.15,189.06
55.45,10.82,5.53,7.93,9.68,288.25,-28.76,-20.60,115.31,-36.72,93.35,20.08,13.90,-16.64,100.00,21.17,189.05
58.29,11.19,5.57,8.36,9.81,297.50,-23.84,-23.07,115.77,-33.65,95.41,20.10,14.01,-13.55,100.00,21.17,189.05
60.91,11.54,5.61,8.82,9.96,307.34,-18.68,-26.45,115.73,-43.80,92.31,20.12,14.10,-23.68,100.00,21.17,189.05
64.01,11.98,5.67,9.30,10.20,319.19,-14.79,-30.35,118.14,-46.28,108.08,20.13,14.20,-26.15,100.00,21.17,189.05
66.57,12.35,5.71,9.73,10.30,327.95,-9.23,-32.37,117.93,-39.67,92.95,20.12,14.27,-19.55,100.00,21.17,189.05
69.56,12.80,5.76,10.33,10.30,337.84,0.46,-34.10,114.71,-37.37,72.96,20.11,14.35,-17.26,87.31,21.17,189.05
72.60,13.26,5.81,11.02,10.27,348.54,12.39,-36.27,109.54,-41.57,57.82,20.08,14.42,-21.49,72.24,21.16,189.07
75.27,13.68,5.86,11.53,10.24,356.32,21.09,-36.36,106.94,-29.62,68.52,20.04,14.47,-9.58,82.99,21.16,189.07
78.26,14.17,5.92,12.14,10.19,365.42,31.95,-36.61,103.09,-30.80,59.97,19.99,14.52,-10.80,74.49,21.16,189.07
81.26,14.66,5.98,12.80,10.10,374.89,44.08,-37.00,98.17,-31.86,49.77,19.93,14.56,-11.94,64.33,21.16,189.07
83.65,15.07,6.02,13.37,10.00,382.42,55.17,-37.15,92.93,-30.79,35.98,19.87,14.58,-10.92,50.57,21.16,189.07
86.64,15.59,6.08,14.07,9.81,390.93,69.79,-36.20,85.81,-23.44,27.05,19.78,14.60,-3.65,41.65,21.16,189.07
89.65,16.12,6.14,14.89,9.54,399.93,87.50,-35.55,75.76,-24.61,2.02,19.69,14.61,-4.93,16.63,21.16,189.07
92.44,16.62,6.20,15.42,9.39,406.07,98.64,-32.50,71.90,-6.96,33.31,19.59,14.61,12.63,47.93,21.16,189.07
95.43,17.16,6.26,16.11,9.21,414.48,112.83,-30.95,65.61,-15.64,15.64,19.46,14.60,3.82,30.25,21.16,189.07
98.36,17.71,6.33,16.80,8.99,422.15,127.86,-28.66,58.47,-9.29,4.19,19.33,14.58,10.05,18.78,21.16,189.07
100.67,18.14,6.38,17.35,8.75,427.22,140.78,-25.80,51.84,1.07,-8.79,19.22,14.56,20.30,5.77,21.16,189.07
103.30,18.65,6.44,17.95,8.51,433.09,154.60,-22.51,45.28,3.89,-7.45,19.09,14.53,22.98,7.08,21.16,189.07
105.64,19.10,6.49,18.47,8.35,439.02,165.76,-20.19,40.66,1.17,-2.00,18.96,14.49,20.13,12.50,21.16,189.07
108.20,19.60,6.55,19.07,8.18,446.06,178.35,-18.12,35.29,-0.31,-8.54,18.81,14.45,18.50,5.91,21.15,189.09
111.29,20.21,6.62,19.73,7.94,452.98,192.90,-13.90,29.57,12.73,-8.68,18.62,14.38,31.35,5.71,21.15,189.09
113.76,20.70,6.67,20.27,7.71,458.03,205.62,-9.99,23.96,19.80,-20.67,18.46,14.32,38.26,-6.35,21.15,189.09
116.71,21.29,6.74,20.92,7.48,464.95,219.97,-6.04,18.23,18.50,-19.29,18.26,14.24,36.76,-5.05,21.15,189.09
119.83,21.93,6.81,21.60,7.32,473.37,233.68,-2.90,13.69,15.33,-14.55,18.03,14.15,33.36,-0.40,21.15,189.09
122.35,22.44,6.87,22.15,7.20,480.38,244.80,-0.49,10.03,16.30,-17.37,17.83,14.06,34.13,-3.31,21.15,189.09
125.32,23.05,6.94,22.77,7.01,487.56,258.02,3.49,5.66,26.28,-21.23,17.60,13.95,43.88,-7.28,21.15,189.09
128.48,23.71,7.02,23.43,6.84,495.47,271.58,7.54,1.59,28.48,-21.32,17.33,13.82,45.81,-7.49,21.15,189.09
131.06,24.24,7.08,24.01,6.75,503.40,282.57,9.43,-1.61,20.35,-23.04,17.10,13.71,37.45,-9.32,21.20,189.06
133.66,24.79,7.15,24.53,6.69,510.98,292.02,11.80,-3.17,25.38,-13.04,16.86,13.59,42.24,0.55,21.20,189.06
135.96,25.27,7.20,25.01,6.64,518.06,300.76,13.55,-4.92,24.22,-17.18,16.64,13.48,40.86,-3.70,21.20,189.06
138.50,25.81,7.26,25.54,6.57,525.60,310.63,15.82,-7.01,28.23,-20.02,16.39,13.35,44.61,-6.68,21.20,189.06
141.21,26.38,7.33,26.09,6.49,533.35,320.82,18.55,-8.89,32.44,-19.23,16.11,13.20,48.55,-6.04,21.20,189.06
143.55,26.88,7.39,26.58,6.47,541.02,329.22,19.91,-10.13,26.14,-17.36,15.86,13.06,42.00,-4.30,21.20,189.06
146.38,27.48,7.46,27.19,6.49,551.37,338.82,20.52,-11.04,20.21,-14.47,15.55,12.89,35.76,-1.58,21.20,189.06
149.10,28.06,7.52,27.77,6.52,561.35,347.98,21.12,-11.82,20.72,-14.47,15.25,12.71,35.97,-1.75,21.20,189.06
151.45,28.56,7.58,28.26,6.54,569.67,355.65,21.90,-12.26,23.33,-13.15,14.97,12.56,38.30,-0.59,21.20,189.06
153.94,29.09,7.64,28.89,6.55,580.18,365.69,21.08,-14.63,11.14,-28.25,14.67,12.38,25.82,-15.87,21.16,189.07
157.19,29.78,7.72,29.45,6.60,590.15,374.13,23.68,-13.09,32.96,-2.21,14.27,12.15,47.23,9.94,21.16,189.07
159.48,30.26,7.78,29.93,6.68,599.31,380.57,23.39,-12.49,16.52,-5.43,13.98,11.97,30.49,6.54,21.16,189.07
161.97,30.79,7.84,30.46,6.76,609.33,387.93,22.99,-12.23,15.53,-7.95,13.65,11.78,29.19,3.83,21.16,189.07
164.77,31.38,7.91,31.06,6.85,620.58,396.34,22.48,-12.13,14.81,-9.06,13.28,11.55,28.09,2.49,21.16,189.07
167.16,31.88,7.96,31.54,6.92,629.55,403.11,22.70,-11.61,19.80,-5.51,12.95,11.35,32.75,5.84,21.16,189.07
169.65,32.40,8.02,32.05,7.01,639.50,409.88,22.28,-10.82,14.87,-3.11,12.60,11.13,27.47,8.02,21.16,189.07
172.78,33.05,8.10,32.75,7.17,653.46,418.69,20.22,-10.21,4.61,-4.73,12.15,10.85,16.76,6.12,21.16,189.07
175.40,33.60,8.16,33.27,7.29,663.91,425.30,19.68,-8.96,12.12,1.16,11.76,10.60,23.87,11.76,21.16,189.07
