BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.00,7.00,5.10,7.01,5.10,198.16,31.25,-0.09,-0.04,-512.77,-256.36,21.12,6.15,-100.00,-100.00,45.45,129.41
3.44,7.02,5.10,7.01,5.10,198.16,31.22,0.25,0.19,1.90,1.32,21.40,6.51,23.30,7.83,45.44,129.42
5.65,7.05,5.11,6.94,5.09,197.00,30.19,1.98,1.57,15.26,12.20,21.56,6.73,36.82,18.93,45.44,129.42
7.87,7.09,5.12,6.86,5.09,195.48,28.98,4.33,3.30,22.06,16.31,21.73,6.95,43.79,23.26,45.44,129.42
10.06,7.14,5.13,6.86,5.11,195.90,28.72,5.01,4.24,9.38,10.91,21.88,7.17,31.26,18.07,45.44,129.42
12.71,7.22,5.15,6.90,5.14,197.02,28.85,5.54,5.14,7.96,10.05,22.05,7.42,30.01,17.47,45.44,129.42
14.81,7.30,5.17,6.95,5.14,197.98,29.60,6.15,5.38,10.04,6.27,22.18,7.61,32.22,13.88,45.44,129.42
17.02,7.40,5.19,7.00,5.14,198.80,30.50,7.25,5.66,14.44,6.78,22.31,7.81,36.76,14.59,45.44,129.42
20.06,7.55,5.22,7.17,5.15,201.63,32.98,7.43,5.06,7.03,0.57,22.48,8.07,29.51,8.65,45.44,129.42
22.39,7.68,5.25,7.29,5.19,204.22,34.43,7.47,5.24,6.25,5.58,22.60,8.27,28.85,13.86,45.44,129.42
24.52,7.81,5.28,7.41,5.24,207.08,35.66,7.24,5.65,3.88,7.83,22.70,8.45,26.58,16.28,45.44,129.42
27.11,7.98,5.32,7.56,5.27,209.98,37.60,7.83,5.88,10.26,6.32,22.82,8.66,33.08,14.98,45.44,129.42
30.01,8.19,5.37,7.76,5.29,213.58,40.52,8.51,5.63,10.91,2.94,22.93,8.88,33.84,11.82,45.44,129.42
32.13,8.36,5.41,7.92,5.32,216.73,42.65,8.76,5.60,9.06,4.31,23.01,9.04,32.07,13.35,45.44,129.42
34.98,8.60,5.47,8.15,5.39,221.65,45.24,8.68,6.03,6.48,7.42,23.10,9.25,29.59,16.66,45.44,129.42
37.22,8.80,5.52,8.35,5.45,225.89,47.44,8.51,6.36,5.49,7.70,23.17,9.41,28.65,17.11,45.46,129.42
40.19,9.09,5.58,8.60,5.51,230.92,50.52,9.20,6.84,11.38,8.29,23.24,9.61,34.62,17.90,45.46,129.42
42.31,9.30,5.63,8.80,5.56,235.03,53.15,9.42,6.90,9.36,5.99,23.29,9.75,32.65,15.73,45.46,129.42
45.11,9.60,5.70,9.10,5.62,240.90,56.89,9.53,6.88,8.30,5.38,23.34,9.92,31.63,15.30,45.46,129.42
47.28,9.84,5.76,9.34,5.69,245.99,59.68,9.28,7.10,5.44,7.52,23.37,10.05,28.81,17.57,45.46,129.42
50.11,10.16,5.83,9.66,5.78,252.72,63.44,9.15,7.45,6.48,8.07,23.39,10.22,29.88,18.29,45.46,129.42
52.31,10.43,5.90,9.92,5.85,258.17,66.67,9.05,7.55,6.49,6.84,23.41,10.34,29.90,17.18,45.46,129.42
54.68,10.72,5.96,10.23,5.92,264.43,70.62,8.75,7.30,4.75,4.00,23.41,10.46,28.16,14.46,45.45,129.41
57.10,11.03,6.04,10.53,5.99,270.41,74.31,9.04,7.51,9.40,7.54,23.41,10.59,32.81,18.13,45.45,129.41
59.63,11.37,6.11,10.87,6.08,277.39,78.49,8.86,7.57,5.84,6.46,23.40,10.71,29.24,17.17,45.45,129.41
61.91,11.68,6.19,11.19,6.16,284.09,82.33,8.47,7.65,3.76,6.73,23.38,10.82,27.15,17.54,45.45,129.41
64.19,12.01,6.26,11.52,6.25,290.99,86.29,8.09,7.75,3.56,6.96,23.36,10.92,26.92,17.87,45.45,129.41
66.49,12.34,6.34,11.86,6.33,297.78,90.37,8.02,7.84,5.86,6.96,23.32,11.01,29.18,17.97,45.45,129.41
69.14,12.73,6.43,12.26,6.43,306.05,95.41,7.69,7.74,4.02,5.57,23.27,11.12,27.29,16.69,45.45,129.41
71.35,13.07,6.51,12.61,6.52,313.03,99.69,7.52,7.70,4.62,5.78,23.22,11.20,27.84,16.97,45.45,129.41
74.18,13.51,6.61,13.11,6.65,323.40,105.80,6.06,7.13,-4.18,2.21,23.15,11.29,18.98,13.51,45.45,129.41
77.43,14.03,6.74,13.60,6.78,333.56,111.64,6.42,7.83,7.10,10.01,23.05,11.40,30.15,21.41,45.45,129.41
79.70,14.41,6.82,13.97,6.87,341.27,116.28,6.27,7.89,3.85,6.83,22.97,11.46,26.83,18.29,45.45,129.41
82.30,14.84,6.92,14.41,6.97,350.03,121.84,6.29,7.80,5.13,5.58,22.87,11.53,28.00,17.11,45.45,129.41
84.62,15.24,7.02,14.82,7.07,358.45,126.87,5.87,7.74,1.53,5.75,22.78,11.59,24.30,17.34,45.45,129.41
86.91,15.64,7.11,15.23,7.17,366.80,131.95,5.52,7.64,1.76,5.36,22.67,11.63,24.43,17.00,45.45,129.41
89.26,16.05,7.21,15.66,7.28,375.66,137.18,5.03,7.61,0.38,5.90,22.56,11.68,22.93,17.58,45.45,129.41
91.77,16.50,7.31,16.14,7.40,385.28,143.09,4.46,7.34,-0.39,3.94,22.43,11.72,22.04,15.66,45.45,129.41
94.88,17.07,7.44,16.69,7.53,396.38,149.99,4.84,7.57,5.97,7.38,22.25,11.77,28.22,19.15,45.45,129.41
97.15,17.49,7.54,17.12,7.63,405.03,155.32,4.65,7.50,2.32,5.48,22.11,11.79,24.43,17.28,45.45,129.41
99.84,17.99,7.66,17.63,7.75,415.58,161.74,4.28,7.41,0.96,5.34,21.94,11.82,22.90,17.16,45.45,129.41
102.14,18.43,7.76,18.09,7.87,424.94,167.34,3.72,7.29,-1.26,4.86,21.78,11.83,20.52,16.70,45.45,129.41
104.58,18.90,7.87,18.56,7.97,434.28,173.25,3.85,7.26,3.98,5.64,21.61,11.85,25.59,17.49,45.45,129.41
106.91,19.35,7.97,19.04,8.08,443.95,179.47,3.29,6.71,-1.58,1.21,21.43,11.85,19.85,13.06,45.45,129.41
109.48,19.85,8.09,19.52,8.19,453.55,185.49,3.83,7.00,6.78,7.58,21.23,11.85,28.01,19.43,45.45,129.41
112.52,20.45,8.23,20.13,8.34,465.98,193.05,3.58,7.02,1.39,5.72,20.98,11.84,22.37,17.56,45.45,129.41
115.10,20.97,8.35,20.65,8.46,476.51,199.64,3.48,6.92,2.14,4.82,20.75,11.83,22.89,16.65,45.45,129.41
117.70,21.49,8.47,21.18,8.58,487.17,206.39,3.41,6.76,2.29,4.35,20.51,11.80,22.81,16.15,45.45,129.41
120.08,21.98,8.59,21.67,8.68,496.81,212.56,3.53,6.65,3.66,4.56,20.29,11.78,23.95,16.34,45.45,129.41
123.07,22.59,8.73,22.31,8.83,509.78,220.74,2.92,6.16,-1.26,2.05,19.99,11.74,18.73,13.79,45.44,129.42
125.39,23.07,8.84,22.76,8.94,518.96,226.14,3.38,6.76,6.17,9.89,19.75,11.70,25.93,21.59,45.44,129.42
128.15,23.64,8.97,23.33,9.08,530.61,233.35,3.31,6.75,2.22,5.37,19.46,11.65,21.68,17.02,45.44,129.42
131.00,24.24,9.11,23.93,9.21,542.41,240.93,3.51,6.63,4.02,4.58,19.14,11.59,23.16,16.17,45.44,129.42
133.48,24.75,9.23,24.45,9.32,552.89,247.59,3.49,6.49,2.69,4.15,18.86,11.53,21.55,15.68,45.44,129.42
135.90,25.26,9.35,24.96,9.44,563.24,254.00,3.44,6.48,2.41,5.12,18.57,11.47,20.98,16.59,45.44,129.42
138.24,25.76,9.47,25.46,9.57,573.30,260.13,3.31,6.52,1.66,5.57,18.29,11.40,19.95,16.97,45.44,129.42
140.87,26.31,9.60,26.01,9.69,584.48,267.17,3.36,6.48,3.02,4.89,17.96,11.32,20.97,16.21,45.44,129.42
144.09,27.00,9.76,26.73,9.85,598.81,276.22,2.84,6.01,-0.58,2.27,17.54,11.21,16.96,13.48,45.45,129.41
146.87,27.59,9.89,27.29,9.98,610.13,283.43,3.41,6.20,6.33,6.14,17.16,11.11,23.49,17.24,45.45,129.41
149.49,28.14,10.02,27.85,10.11,621.35,290.48,3.43,6.15,2.91,4.56,16.80,11.00,19.71,15.56,45.45,129.41
151.93,28.66,10.14,28.37,10.23,631.92,297.00,3.33,6.13,1.92,4.78,16.45,10.90,18.37,15.69,45.45,129.41
154.86,29.28,10.29,29.00,10.37,644.58,304.91,3.23,6.03,2.04,4.26,16.02,10.77,18.06,15.03,45.45,129.41
158.05,29.96,10.45,29.68,10.53,658.18,313.57,3.29,5.87,2.93,3.80,15.54,10.62,18.47,14.42,45.45,129.41
160.67,30.51,10.58,30.27,10.66,670.07,321.00,2.56,5.39,-2.83,1.05,15.13,10.49,12.31,11.54,45.44,129.42
163.47,31.11,10.71,30.83,10.79,681.45,328.05,3.15,5.78,6.18,7.06,14.69,10.34,20.87,17.40,45.44,129.42
165.83,31.60,10.83,31.33,10.91,691.53,334.29,3.06,5.75,1.75,4.41,14.30,10.21,16.05,14.62,45.44,129.42
168.59,32.18,10.96,31.91,11.04,703.14,341.59,3.15,5.73,3.14,4.47,13.84,10.05,16.98,14.52,45.44,129.42
171.71,32.83,11.12,32.57,11.18,716.19,350.16,3.23,5.33,3.01,2.00,13.31,9.86,16.31,11.85,45.44,129.42
174.26,33.36,11.24,33.10,11.30,726.84,356.90,3.28,5.25,3.02,3.64,12.86,9.70,15.87,13.34,45.44,129.42
176.72,33.87,11.36,33.65,11.42,737.81,363.85,2.56,4.67,-3.13,-0.36,12.41,9.53,9.29,9.18,45.45,129.41
179.20,34.38,11.48,34.13,11.53,747.56,369.98,3.07,4.93,6.06,5.75,11.96,9.36,18.02,15.11,45.45,129.41
181.94,34.94,11.61,34.69,11.66,758.79,377.05,3.11,4.86,2.77,3.48,11.45,9.17,14.22,12.65,45.45,129.41
185.11,35.57,11.75,35.33,11.80,771.65,385.16,3.14,4.77,2.68,3.30,10.84,8.93,13.52,12.23,45.45,129.41
187.70,36.09,11.88,35.86,11.92,782.11,391.88,3.15,4.56,2.54,2.19,10.33,8.74,12.87,10.92,45.45,129.41
190.35,36.62,12.00,36.38,12.05,792.72,398.34,3.14,4.69,2.48,4.67,9.80,8.52,12.29,13.19,45.45,129.41
192.75,37.09,12.11,36.92,12.17,803.53,405.22,1.81,3.71,-8.27,-4.20,9.32,8.33,1.04,4.13,45.45,129.41
195.96,37.71,12.25,37.48,12.29,814.67,412.36,3.24,4.39,10.37,7.20,8.65,8.06,19.02,15.25,45.45,129.41
198.09,38.12,12.35,37.88,12.38,822.71,417.39,3.44,4.48,4.36,4.35,8.20,7.87,12.56,12.22,45.45,129.41
200.83,38.64,12.47,38.39,12.51,833.28,423.76,3.36,4.64,2.23,4.71,7.61,7.63,9.84,12.34,45.45,129.41
203.65,39.16,12.59,38.92,12.63,843.96,430.36,3.30,4.65,2.25,3.79,6.99,7.37,9.24,11.16,45.45,129.41
206.14,39.62,12.70,39.37,12.74,853.08,436.05,3.42,4.71,3.61,4.17,6.43,7.13,10.04,11.30,45.45,129.41
208.66,40.08,12.80,39.84,12.85,862.42,441.85,3.32,4.65,1.92,3.32,5.86,6.88,7.78,10.20,45.45,129.41
211.10,40.52,12.91,40.29,12.94,871.40,447.67,3.13,4.30,1.15,0.93,5.30,6.64,6.44,7.57,45.44,129.42
214.13,41.05,13.03,40.80,13.06,881.62,454.06,3.65,4.58,5.90,5.30,4.59,6.33,10.49,11.63,45.44,129.42
216.27,41.42,13.12,41.16,13.15,889.07,458.59,3.63,4.68,2.75,4.53,4.08,6.11,6.83,10.63,45.44,129.42
218.58,41.81,13.21,41.56,13.24,897.09,463.51,3.51,4.67,1.92,3.69,3.52,5.86,5.43,9.55,45.44,129.42
221.50,42.29,13.32,42.04,13.35,906.71,469.64,3.71,4.65,4.14,3.59,2.80,5.54,6.93,9.12,45.44,129.42
224.04,42.71,13.42,42.44,13.44,914.73,474.65,4.00,4.81,5.20,4.95,2.16,5.25,7.37,10.20,45.44,129.42
226.82,43.15,13.52,42.90,13.54,924.00,480.54,3.64,4.47,0.66,1.41,1.45,4.93,2.12,6.34,45.44,129.43
229.38,43.54,13.61,43.27,13.64,931.59,485.16,4.06,4.83,6.12,6.34,0.79,4.63,6.91,10.97,45.44,129.43
231.83,43.91,13.70,43.63,13.72,938.90,489.66,4.23,4.98,4.56,5.05,0.15,4.34,4.72,9.39,45.44,129.43
234.11,44.25,13.78,43.97,13.80,945.76,493.88,4.16,4.98,2.85,4.04,-0.45,4.06,2.40,8.10,45.44,129.43
237.03,44.67,13.87,44.39,13.90,954.13,499.15,4.24,4.97,3.85,3.86,-1.24,3.69,2.61,7.55,45.44,129.43
239.14,44.96,13.94,44.67,13.97,959.91,502.65,4.37,5.15,4.56,5.62,-1.81,3.42,2.75,9.04,45.44,129.43
241.46,45.28,14.02,44.98,14.04,966.21,506.58,4.41,5.16,3.86,4.26,-2.46,3.12,1.40,7.38,45.44,129.43
244.15,45.63,14.10,45.35,14.13,973.62,511.06,4.13,5.11,1.48,3.76,-3.21,2.77,-1.73,6.52,45.45,129.41
246.85,45.97,14.18,45.67,14.20,980.14,515.10,4.50,5.36,6.02,5.90,-3.98,2.40,2.04,8.30,45.45,129.41
249.45,46.29,14.25,45.98,14.27,986.36,519.06,4.64,5.36,4.63,4.27,-4.72,2.05,-0.09,6.32,45.45,129.41
251.84,46.57,14.32,46.26,14.34,991.99,522.55,4.67,5.38,3.95,4.48,-5.42,1.71,-1.47,6.19,45.45,129.41
254.76,46.89,14.39,46.58,14.42,998.62,526.46,4.62,5.57,3.40,5.57,-6.29,1.30,-2.89,6.86,45.45,129.41
256.90,47.12,14.45,46.80,14.47,1003.06,529.15,4.78,5.75,5.14,6.07,-6.93,0.99,-1.79,7.06,45.45,129.41
259.26,47.36,14.50,47.04,14.53,1007.83,532.20,4.88,5.72,4.64,4.38,-7.64,0.64,-3.00,5.02,45.45,129.41
262.20,47.65,14.57,47.33,14.60,1013.74,535.78,4.71,5.71,2.75,4.50,-8.55,0.20,-5.79,4.70,45.44,129.42
264.81,47.88,14.62,47.56,14.66,1018.49,538.59,4.75,5.88,4.10,5.82,-9.36,-0.20,-5.26,5.62,45.44,129.42
267.26,48.09,14.67,47.76,14.70,1022.55,541.25,4.91,5.84,5.02,4.42,-10.13,-0.57,-5.11,3.85,45.44,129.42
269.52,48.27,14.71,47.94,14.74,1026.16,543.43,4.96,5.94,4.38,5.52,-10.85,-0.93,-6.47,4.59,45.44,129.42
272.29,48.48,14.76,48.14,14.79,1030.15,545.98,5.12,5.98,5.13,5.04,-11.74,-1.37,-6.62,3.66,45.44,129.42
275.07,48.67,14.81,48.33,14.84,1034.07,548.24,5.02,6.09,3.40,5.55,-12.65,-1.82,-9.25,3.73,45.44,129.42
277.47,48.82,14.84,48.47,14.88,1037.14,549.91,4.94,6.28,3.38,6.45,-13.44,-2.22,-10.06,4.23,45.44,129.42
