BEGIN CSV
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.00,6.99,5.08,6.99,5.08,197.68,31.27,-0.04,-0.02,-256.38,-128.17,16.20,10.75,-60.00,-60.00,54.21,174.51
3.49,7.01,5.43,6.99,5.08,197.59,31.25,6.00,-5.39,35.12,-31.28,16.43,11.17,51.56,-20.11,54.23,174.52
6.62,7.05,5.74,6.91,5.09,196.45,29.84,12.90,-8.31,48.89,-22.91,16.63,11.53,60.00,-11.38,54.23,174.52
9.23,7.11,5.99,6.84,5.12,195.90,28.13,18.53,-9.81,52.65,-17.95,16.79,11.82,60.00,-6.13,54.23,174.52
11.92,7.19,6.25,6.85,5.21,197.46,26.96,22.50,-11.62,43.76,-21.08,16.94,12.12,60.00,-8.96,54.23,174.52
14.30,7.27,6.48,6.91,5.27,199.46,26.92,25.61,-13.92,43.37,-28.02,17.07,12.37,60.00,-15.65,54.23,174.52
17.28,7.40,6.76,7.02,5.33,202.16,27.75,29.58,-17.30,47.01,-33.73,17.21,12.67,60.00,-21.06,54.23,174.52
20.33,7.55,7.04,7.19,5.43,206.69,28.76,32.23,-20.50,40.99,-34.71,17.36,12.97,58.35,-21.73,54.23,174.54
23.06,7.71,7.30,7.35,5.58,211.65,29.00,33.95,-22.33,38.16,-29.62,17.47,13.23,55.63,-16.39,54.23,174.54
25.65,7.87,7.54,7.50,5.74,216.81,28.83,35.38,-23.36,37.95,-25.62,17.58,13.47,55.52,-12.15,54.23,174.54
27.91,8.03,7.74,7.65,5.88,221.45,28.96,36.66,-24.30,39.23,-26.71,17.66,13.67,56.89,-13.04,54.23,174.54
30.31,8.20,7.96,7.83,6.03,226.97,29.40,37.60,-25.35,36.94,-27.98,17.74,13.87,54.68,-14.11,54.23,174.54
33.30,8.45,8.22,8.08,6.26,234.68,29.73,38.21,-26.11,34.15,-25.30,17.83,14.12,51.98,-11.18,54.23,174.54
35.69,8.65,8.44,8.28,6.46,241.25,29.69,38.48,-26.13,32.74,-21.11,17.90,14.31,50.64,-6.80,54.23,174.54
38.66,8.93,8.70,8.60,6.80,252.01,29.51,36.46,-25.72,17.30,-18.15,17.97,14.53,35.27,-3.62,54.21,174.51
42.23,9.28,9.00,8.90,7.09,261.84,29.69,37.46,-25.15,34.88,-17.31,18.04,14.78,52.92,-2.53,54.21,174.51
44.82,9.55,9.22,9.18,7.35,270.45,29.97,36.95,-24.58,26.16,-15.81,18.09,14.96,44.25,-0.86,54.21,174.51
47.54,9.85,9.45,9.47,7.64,280.10,30.01,35.99,-23.45,22.56,-11.50,18.12,15.13,40.68,3.63,54.21,174.51
49.87,10.12,9.65,9.74,7.91,288.99,30.04,34.67,-22.25,17.84,-8.78,18.15,15.27,35.98,6.49,54.21,174.51
