BEGIN CSV
746723.75,74.25,51.26,74.36,27.05,1660.11,774.38,394.60,-398.08,243.20,-319.32,-71.39,40.86,60.00,-60.00,60.38,186.50
746726.99,73.82,50.81,74.36,27.05,1660.15,774.38,380.16,-397.72,226.02,-316.27,-70.25,39.88,60.00,-60.00,60.38,186.50
746729.86,73.43,50.38,74.36,27.06,1660.18,774.38,366.60,-397.03,210.53,-313.37,-69.20,38.99,60.00,-60.00,60.38,186.50
746732.73,73.03,49.91,74.36,27.06,1660.13,774.34,352.40,-395.94,195.30,-310.11,-68.10,38.08,60.00,-60.00,60.38,186.50
746735.72,72.60,49.39,74.36,27.06,1660.20,774.32,336.77,-394.47,177.96,-306.97,-66.92,37.12,60.00,-60.00,60.38,186.50
746738.53,72.18,48.88,74.36,27.06,1660.18,774.38,321.55,-392.85,162.35,-304.21,-65.77,36.20,60.00,-60.00,60.38,186.50
746741.76,71.69,48.25,74.36,27.06,1660.18,774.32,303.26,-390.47,143.65,-299.52,-64.40,35.13,60.00,-60.00,60.38,186.50
746744.87,71.21,47.61,74.36,27.06,1660.18,774.38,284.96,-387.96,125.10,-296.20,-63.03,34.07,60.00,-60.00,60.38,186.50
746748.11,70.70,46.91,74.36,27.05,1660.15,774.40,265.28,-384.93,105.78,-291.58,-61.56,32.95,45.78,-60.00,60.38,186.50
746750.79,70.28,46.31,74.36,27.05,1660.11,774.43,248.47,-382.16,89.25,-287.64,-60.30,32.00,29.25,-60.00,60.38,186.50
746753.66,69.81,45.65,74.36,27.06,1660.15,774.34,229.96,-378.82,71.00,-282.74,-58.92,30.98,12.08,-60.00,60.38,186.50
746756.65,69.32,44.94,74.36,27.06,1660.20,774.36,210.17,-375.20,52.32,-278.92,-57.43,29.89,-5.11,-60.00,60.38,186.50
746759.52,68.84,44.23,74.35,27.06,1660.09,774.29,190.90,-371.38,35.16,-273.83,-55.97,28.83,-20.81,-60.00,60.38,186.50
746762.76,68.30,43.41,74.36,27.06,1660.18,774.34,168.48,-366.92,13.49,-269.41,-54.27,27.62,-40.77,-60.00,60.38,186.50
746765.87,67.77,42.60,74.36,27.06,1660.18,774.34,146.55,-362.33,-6.05,-264.03,-52.59,26.43,-58.64,-60.00,60.38,186.50
746769.23,67.19,41.70,74.36,27.05,1660.13,774.38,122.50,-357.14,-27.36,-258.71,-50.72,25.13,-60.00,-60.00,60.38,186.50
746772.09,66.70,40.92,74.36,27.05,1660.15,774.43,101.56,-352.52,-46.47,-253.77,-49.08,24.00,-60.00,-60.00,60.38,186.50
746774.96,66.20,40.13,74.36,27.06,1660.15,774.34,80.38,-347.57,-64.95,-247.92,-47.40,22.85,-60.00,-60.00,60.38,186.50
746777.95,65.67,39.28,74.36,27.06,1660.15,774.27,58.03,-342.27,-84.34,-242.77,-45.61,21.64,-60.00,-60.00,60.38,186.50
746781.01,65.14,38.41,74.36,27.05,1660.09,774.34,35.05,-336.81,-103.70,-238.17,-43.73,20.38,-60.00,-60.00,60.38,186.50
746784.36,64.55,37.44,74.36,27.05,1660.13,774.36,9.43,-330.57,-126.04,-231.93,-41.62,18.97,-60.00,-60.00,60.36,186.48
746787.66,63.97,36.47,74.36,27.06,1660.20,774.40,-15.95,-324.30,-147.51,-226.10,-39.49,17.57,-60.00,-60.00,60.36,186.48
746790.71,63.43,35.57,74.36,27.05,1660.11,774.34,-39.43,-318.24,-166.22,-219.85,-37.47,16.26,-60.00,-60.00,60.36,186.48
746793.70,62.91,34.68,74.36,27.05,1660.09,774.34,-62.60,-312.25,-185.66,-214.75,-35.45,14.95,-60.00,-60.00,60.36,186.48
746796.57,62.40,33.82,74.36,27.05,1660.13,774.40,-84.95,-306.47,-204.26,-209.95,-33.48,13.68,-60.00,-60.00,60.36,186.48
746799.44,61.90,32.96,74.36,27.06,1660.15,774.32,-107.29,-300.46,-222.15,-203.71,-31.46,12.39,-60.00,-60.00,60.36,186.48
746802.43,61.38,32.05,74.36,27.05,1660.07,774.36,-130.47,-294.26,-240.01,-199.10,-29.31,11.03,-60.00,-60.00,60.36,186.48
746805.42,60.87,31.15,74.36,27.06,1660.20,774.32,-153.83,-287.90,-259.76,-193.12,-27.12,9.65,-60.00,-60.00,60.35,186.50
746808.53,60.33,30.21,74.36,27.06,1660.15,774.36,-177.89,-281.32,-277.55,-188.06,-24.80,8.19,-60.00,-60.00,60.35,186.50
746811.77,59.78,29.24,74.36,27.06,1660.11,774.32,-202.77,-274.35,-296.80,-181.77,-22.33,6.66,-60.00,-60.00,60.35,186.50
746814.94,59.25,28.29,74.36,27.06,1660.15,774.36,-227.10,-267.57,-315.86,-176.68,-19.86,5.14,-60.00,-60.00,60.35,186.50
746818.05,58.73,27.36,74.36,27.05,1660.15,774.45,-250.73,-260.96,-333.44,-171.58,-17.39,3.63,-60.00,-60.00,60.35,186.50
746821.11,58.23,26.46,74.36,27.06,1660.13,774.34,-273.66,-254.28,-350.38,-165.14,-14.93,2.12,-60.00,-60.00,60.35,186.50
746824.22,57.73,25.55,74.36,27.06,1660.22,774.40,-296.89,-247.67,-368.10,-160.96,-12.37,0.57,-60.00,-60.00,60.33,186.50
746827.21,57.25,24.69,74.36,27.06,1660.13,774.32,-318.75,-241.19,-382.92,-155.08,-9.86,-0.94,-60.00,-60.00,60.33,186.50
746830.02,56.81,23.88,74.36,27.06,1660.18,774.34,-339.11,-235.26,-398.23,-151.23,-7.47,-2.37,-60.00,-60.00,60.33,186.50
746833.01,56.36,23.04,74.36,27.06,1660.18,774.29,-360.43,-228.93,-413.06,-146.09,-4.88,-3.92,-60.00,-60.00,60.33,186.50
746835.88,55.92,22.25,74.36,27.06,1660.15,774.34,-380.50,-223.01,-426.83,-142.27,-2.36,-5.41,-60.00,-60.00,60.33,186.50
746839.11,55.45,21.36,74.36,27.06,1660.13,774.34,-402.68,-216.37,-442.15,-137.18,0.53,-7.12,-60.00,-60.00,60.33,186.50
746842.29,54.99,20.52,74.36,27.05,1660.15,774.45,-423.98,-210.07,-456.65,-133.35,3.42,-8.82,-60.00,-60.00,60.33,186.50
746845.64,54.53,19.65,74.36,27.06,1660.18,774.32,-445.93,-203.30,-471.14,-127.34,6.53,-10.64,-60.00,-60.00,60.34,186.49
746848.75,54.11,18.86,74.36,27.05,1660.13,774.36,-465.63,-197.33,-483.29,-124.27,9.46,-12.34,-60.00,-60.00,60.34,186.49
746851.75,53.72,18.12,74.36,27.06,1660.20,774.36,-484.11,-191.69,-495.43,-120.34,12.32,-14.00,-60.00,-60.00,60.34,186.49
746854.61,53.36,17.44,74.36,27.06,1660.15,774.34,-501.18,-186.39,-505.09,-116.83,15.10,-15.60,-60.00,-60.00,60.34,186.49
746857.36,53.02,16.81,74.36,27.05,1660.18,774.43,-517.06,-181.58,-514.83,-114.56,17.81,-17.16,-60.00,-60.00,60.34,186.49
746860.41,52.66,16.13,74.36,27.06,1660.18,774.34,-534.05,-176.21,-524.61,-110.20,20.85,-18.90,-60.00,-60.00,60.34,186.49
746863.59,52.31,15.45,74.36,27.06,1660.18,774.34,-550.96,-170.93,-534.01,-107.63,24.07,-20.73,-60.00,-60.00,60.38,186.50
746866.82,51.97,14.79,74.36,27.06,1660.13,774.29,-567.32,-165.74,-542.39,-104.50,27.39,-22.62,-60.00,-60.00,60.38,186.50
746870.00,51.65,14.18,74.36,27.06,1660.15,774.29,-582.59,-160.93,-550.27,-102.25,30.70,-24.49,-60.00,-60.00,60.38,186.50
746873.23,51.34,13.59,74.36,27.05,1660.11,774.34,-597.18,-156.35,-556.66,-100.26,34.13,-26.43,-60.00,-60.00,60.38,186.50
746876.34,51.07,13.06,74.36,27.05,1660.11,774.34,-610.35,-152.16,-562.35,-98.19,37.48,-28.30,-60.00,-60.00,60.38,186.50
746879.52,50.81,12.56,74.36,27.06,1660.15,774.36,-622.88,-148.20,-567.36,-96.73,40.94,-30.24,-60.00,-60.00,60.38,186.50
746882.63,50.57,12.10,74.36,27.06,1660.18,774.32,-634.17,-144.55,-570.81,-95.10,44.38,-32.15,-60.00,-60.00,60.38,186.50
